"TITLE","AUTHOR","EDITION"
Birthday Children,Artcraft,"0"
Biscuits Christmas A Scratch-And-sniff Book,Capucilli Alyssa Satin,"0"
Black Beauty,Sewell Anna,"0"
Black House,King Stephen & Straub Peter,"0"
Blizzard,Stong Phil,"0"
Blood Rain an Aurelio Zen Mystery,Dibdin Michael,"0"
Bloodline,Hammond Gerald,"0"
Bloodroot,Albert Susan Wittig,"0"
Bolt,Francis Dick,"0"
Book Blitz,Gaughen Barbara & Weckbaugh Ernest,"0"
Boots and Saddles,Bracco Edgar Jean,"0"
Bottle Rush U S A,Blumenstein Lynn,"0"
Bottles of Bygone Days,Colcleaser Donald E,"0"
Boys Book of Model Boats,Yates Raymond F,"0"
Break a Leg Darling,Babson Marian,"0"
Brides Island,Houston Margaret Bell,"0"
Brief German Grammar,Rosco James Ham and Arthur Newton Leonard,"0"
Brimstone,Preston Douglas & Child Lincoln,"0"
Bugs Bunny Marooned!,Korman Justine,"0"
Burned Fingers,Norris Kathleen,"0"
But Not in Shame,Toland John,"0"
Buttercups & Brandy,Junior League of Waterloo,"0"
By the Pricking of My Thumbs,Christie Agatha,"0"
Cake & Food Decorating,Wilton Norman,"0"
California Military Academy,Non Denominational,"0"
Call It Courage,Sperry Armstrong,"0"
Calories and Carbohydrates,Kraus Barbars,"0"
Canada,Canizares Susan and Berger Samantha,"0"
Canapes for the Kitties,Babson Marian,"0"
Canterbury Tales,Chaucer Geoffrey,"0"
Capable of Honor,Drury Allen,"0"
Captain Adam,Chidsey Donald Barr,"0"
Caravans,Michener James A,"0"
Carl Hubbells 1937 Baseball Book,Hubbell Carl,"0"
Castle Craneycrow,McCutcheon George Barr,"0"
Catherine the Great,Grey Ian,"0"
Cats,Singh,"0"
Cats Cradle,Johnson Anne Akers,"0"
Champion Dog Prince Tom,Fritz Jean & Clute Tom,"0"
Chariots of the Gods?,Von Daniken Erich,"0"
Charlie Company What Vietnam Did To Us,Goodman Peter & Tony Fuller,"0"
Cheapest Supply House on Earth,Heritage of America Library,"0"
Cheating Death,Keating H R F,"0"
Check Six,Blesse Frederick C,"0"
Chesapeake,Michener James A,"0"
Child Life in Other Lands,Perdue H Avis,"0"
Childbirth Without Fear,Read Grantly Dick MA MD,"0"
Childrens Hour with Cinderell & Other Stories,Piper Watty,"0"
Childrens Hour with Cinderella and Other Stories,The Platt & Monk Co Inc,"0"
Christmas Song Parade and Pictures to Color,Treasure Chest,"0"
Cinderella,Disney Walt,"0"
Cinderella,Grant Campbell,"0"
Circus,Maclean Alistair,"0"
Civilization - Past and Present,Wallbank T Walter & Taylor Alastair M,"0"
Classics of the Modern Theater,Kernan Alvin B,"0"
Clifford The Big Red Dog Teachers Pets,Mills Liz,"0"
Clue: Midnight Phone Calls,Weiner Eric,"0"
Clue: Mystery at the Masked Ball,Weiner Eric,"0"
Clue: The Case of the Invisible Cat,Weiner Eric,"0"
Clue: The Secret Secret Passage,Weiner Eric,"0"
Clue: Who Killed Mr Boddy,Weiner Eric,"0"
Clues to Americas Past,National Geographic,"0"
Collected Verse of Edgar A Guest,Guest Edgar A,"0"
College Typewriting Intensive Course,Lessenberry D D & Wanous S J,"5.0"
College Typewriting Intensive Course,Lessenberry D D And Wanous S J,"0"
Color Nature Library Aquariam,Burton Jane,"0"
Color-Blind,Cookson Catherine,"0"
Columbella,Whitney Phyllis A,"0"
Combat The War With Japan,Congdon Don,"0"
Communicable Diseases for Nurses,Bower Albert G MD,"0"
Companion to Cicero,Pearl Joseph PhD,"0"
Compartment K,Reilly Helen,"0"
Complete Novelettes of Honore De Balzac, deBalzac Honore,"0"
Compo Dolls Volume II 1909 - 1928,Judd Polly and Pam,"0"
Computer Concepts,Parsons June Jamrich and Oja Dan,"0"
Confessions of a Dirty Ballplayer,Sample Johnny,"0"
Creative Divorce,Krantzler Mel,"0"
Creative Leathercraft,Petersen Grete,"0"
Crockery Crookery,Hoffman Mable,"0"
Crooked House,Christie Agatha,"0"
Cuddly Dudley,Alborough Jez,"0"
Daily Guide Toward Fitness,Eugene E & Greer Elaine W,"0"
Damon,Cline C Terry  Jr,"0"
Daniel Boone the Opening of the Wilderness,Brown John Mason,"0"
Dark Horse,Shoemaker Bill,"0"
Daughter of Fortune,Allende Isabel,"0"
David Copperfield,Dickens Charles,"0"
Dead Crazy,Pickard Nancy,"0"
Dead Mans Bones,Albert Susan Wittig,"0"
Dead Mans Folly,Christie Agatha,"0"
Deadline,Boyle Gerry,"0"
Declaration of Independence,The Heritage of America Library,"0"
Decorating with Plants,Allen Oliver E,"0"
Delightful Dolls Antique and Otherwise,Bateman Thelma,"0"
Der Bibliothefar,Von Moser Gustav,"0"
Der Zerbrochene Krug,Joynes Edward S,"0"
Derenvias Daughter,Harvey Lola,"0"
Desert Treasure,Heffernan Helen & Richards Irmagarde & Salisbury Alice,"0"
Dirge for a Doge,Eyre Elizabeth,"0"
Disneys Darkwing Duck The Darkest Night,Helfer Andrew,"0"
Dog in a Manger,Curtiss Ursula,"0"
Doll News  February 1968,Carter Eleanor Jean,"0"
Doll News February 1966,Carter Eleanor Jean,"0"
Doll News February 1973,Cushner Zelder,"0"
Doll News Spring 1980,Klinge Mrs Ray Annette Jr,"0"
Doll News Spring 1982,Knoblauch R H Beryl Mrs,"0"
Doll News Summer 1983,Knoblauch R H Beryl Mrs,"0"
Don Camillo and His Flock,Guareschi Giovanni,"0"
Don Quixote De La Mancihe,Saavedra Miguel De Cervantes,"0"
Dope,Rohmer Sax,"0"
Dr Chases Third Last and Complete Receipt Book,Chase A W MD,"0"
Dr Seusss A B C,Dr Seuss,"0"
Dragon,Cussler Clive,"0"
Drawings in Black & White,Christyi Howard Chandler,"0"
Dream Boy,Grimsley Jim,"1.0"
Drowned Hopes,Westlake Donald,"0"
Dual Enigma,Underwood Michael,"0"
Dune to Death,Daheim Mary,"0"
Dutchmans Flat,Lamour Louis,"0"
Echoes in the Darkness,Wambaugh Joseph,"0"
Edgar Cayce on The Millenium,Steam Jess,"0"
Egyptian Mummies,Polk Milbry,"1.0"
Elephants Can Remember,Christie Agatha,"0"
Elmos 12 Days of Christmas,Albee Sarah,"0"
Embers,Kirk Mary,"0"
Emerson,Konvitz Milton R & Whicher Stephen E,"0"
Emily Posts Pocket Book of Etiquette,Post Elizabeth L,"0"
Eminent Artists in 14 Volumes,Hubler Edward,"0"
Emma,Austen Jane,"0"
Encore Murder,Babson Marian,"0"
English Made Simple,Waldhorn Arthur Zeiger Arthur,"0"
Entender y Hablar,LaGrone Gregory G McHenry Andrea Sendon OConnor Patricia,"0"
Essentials of Obstetrics,Ashton William Easterly MD,"0"
Eugenie Grandet A Study of Woman Etc,Balzac,"0"
Eureka Memories,McCracken Robert D,"0"
Eveli The Little Singer,Spyri Johanna,"0"
Even More Stories to Give You Goosebumps,Stine R L,"0"
Everyday Arithmetic Advanced Book,Hoyt Franklin S & Peet Harriet E,"0"
Evil Angels: The Case of Lindy Chamberlain,Bryson John,"0"
Exams and Answers,Newmark Maxim,"0"
Expectant Motherhood,Eastman Nicholson J MD,"2.0"
FD R A Pictorial Biography,Lorant Stefan,"0"
Fabulous Facts About the 50 States,Ross Wilma S,"0"
Fadern,Strindberg August,"0"
Fallen Into the Pit, Peters Ellis,"0"
Family The Ties That Bind and Gag!,Bombeck Erma,"0"
Fasting the Ultimate Diet,Cott MD Allan,"0"
Father Goriot The Unconscious Humorist Gaudissart The Great,Balzac,"0"
Fieldings Folly,Keyes Frances Parkinson,"0"
Final Approach,Nance John J,"1.0"
Firre-Tongue,Rohmet Sax,"0"
First Book of Chess,Horowitz Al and Fred Reinfeld,"0"
Fletch Reflected,McDonald Gregory,"0"
Flight of the Witch,Peters Ellis,"0"
Flowering House Plants,Crockett James Underwood,"0"
Flying Saucers Have Landed,Leslie Desmond & George Adamski,"0"
Foliage House Plants,Crockett James Underwood,"0"
From Plato to Nietzsche,Allen E L,"0"
Full Circle,Wilcox Collin,"0"
Fun with Felt,Williams Hazel Pearson,"0"
Furniture Its Selection and Use,Lamont R P,"0"
Gamblers & Gangsters,Arnold Ann,"0"
Garfields Extreme Cuisine Pigging Way Out!,Davis Jim,"0"
Gems Minerals Crystals and Ores,Pearl Richard M,"0"
Gems and Precious Stones,Lyman Kennie,"0"
Gentlemens Agreement,Hobson Laura Z,"0"
Gentlewomen Adventurers in Death Valley,Wheelock Walt,"0"
Get Going with Quick Books,Quick Books,"0"
Get Going with Quick Books 50,Quick Books for Windows,"0"
Ghost Towns of the West,McDowell Jack,"0"
Ghosts,McBain Ed,"0"
Gone With the Wind,Mitchell Margaret,"0"
Good Night Dora!,Ricci Christine,"0"
Goosebumps Special Edition #3,Stine RL,"0"
Grand Canyon Country,Elmer Carlos,"0"
Great Lion of God,Caldwell Taylor,"0"
Green Mars,Robinson Kim Stanley,"0"
Grey Face,Rohmer Sax,"0"
Growing Up,deSchweinitz Karl,"0"
Grregg Dictation Simplified,Leslie Louis A & Zoubek Charles E & Strony Madeline S,"2.0"
Gus Wilsons Model Garage,Bunn Martin,"0"
Hamlet,Shakespeare William,"0"
Handbook of Common Macrame Knots,Hall Bobi,"0"
Hangmans Curse,Peretti Frank,"0"
Hans Brinker or The Silver Skates: A Story of Life In Holland,Dodge Mary Mapes,"0"
Hansel and Gretel,Grimm Jacob and William,"0"
Happy Birthday to You You Belong in a Zoo,De Groat Diane,"0"
Happy are Those Who Thirst for Justice,Greeley Andrew M,"0"
Hard Choices: No 7,Walker Cynthia Whitesides Elvin Morria Rob,"0"
Harvest,Plain Belva,"0"
Haunted House,Hurwood Bernhardt J,"0"
Health Principles and Practice,Anderson C L & Langton C V,"0"
Heartbreaker,Ferrigno Robert,"0"
Heaven Knows What,Lewi Grant,"0"
Heidi Child of the Mountains,Johanna Spyri,"0"
Heidi Child of the Mountains,Spyri Johanna,"0"
Helens Babies,Habberton John,"0"
Helter Skelter,Bugliosi Vincent,"0"
Here are the Things That Santa Claus Brings,Rigney Francis J,"0"
Heres Harry!,Truman Harry,"0"
High Stand,Innes Hammond,"0"
Hire a Hangman,Wilcox Collin,"0"
Histoires extraordinaires,Poe Edgar Allen,"1.0"
History of the Second World War,Cavendish Marshall,"0"
History of the Second World War,Hart BH Liddell,"1.0"
Hitch,Taylor John Ressell,"0"
Hittty Her First Hundred Years,Field Rachel,"0"
Holocaust,Green Gerald,"0"
Home Cyclopedia of Health,Wood W G & None Others,"0"
Home Sweet Home,Heloise,"0"
Honda Civic Repair Manual 1984-1991,Conti Peter,"0"
Honest Money,Gardner Earl Stanley,"0"
Hope for Hypoglycemia,Barnes Broda & Barnes Charlotte,"0"
Hornets,Ccornwell Patricia,"0"
Hot Blooded,Jackson Lisa,"0"
Hot Rod Chassis Construction,Editors of Hot Rod Maazine,"0"
Hot Rod Engines,Editors of Hot Rod Magazine,"0"
Hot Rods and Drag Racing,Bortstein Larry,"0"
Hotshots,Van Gieson Judith,"0"
Household Discoveries,Morse Sidney,"0"
Household Discoveries and Mrs Curtiss Cookbook,Morse Sidney,"0"
How Paul Robeson Saved My Life,Reiner Carl,"0"
How to Bullet-Proof Your Manuscript,Henderson Bruce,"0"
How to Increase Your Money-Making Power,Appleman John Alan,"0"
How to Negotiate a Successful Contract,Brown Louis M,"0"
How to Say it,Lurie Charles N,"0"
How to Stay Alive in the Woods,Angler Bradford,"0"
How to Work with Tools and Wood,Campbell Robert and Mager N H,"0"
Humans,Westlake Donald,"0"
Husband--Coached Childbirth,Bradley Robert A MD,"0"
I Met Murder,Ferras E X,"0"
I Touch the Earth the Earth Touches Me,Prather Hugh,"0"
I Want to Quit Winners,Smith Harold S Sr,"0"
I Want to Quit Winners,Smith Harold S Sr w/ John Wesley Noble,"0"
I Want to be President,Muntean Michaela,"0"
Ideas for Great Kitchens,Sunset Magazine,"0"
Ideology and Utopia,Mannheim Karl,"0"
If There Be Thorns,Andrews VC,"0"
If You Were My Bunny,McMullen Kate,"1.0"
Image of Josephine,Tarkington Booth,"0"
Images,Miller Fred,"0"
Immortal Wife,Stone Irving,"0"
In Cold Blood,Canfield Jack & Hansen Mark Victor,"0"
In Cold Blood,Capote Truman,"0"
In the Midst of Life: Tales of Soldiers and Civilians,Bierce Ambrose,"0"
In the Teeth of Adversity,Babson Marian,"0"
In the Teeth of the Evidence,Sayers Dorothy L,"0"
Indiana Jones and the Last Crusade,Luce Henry R,"0"
Indians of the Southwest,Dutton Bertha P,"0"
Inside USA,Gunther John,"0"
Introduction to Business for Colleges,Puckett Cecil PhD & Beighey PhD,"0"
Intruder from the Sea,McDonell Gordon,"0"
Iroquois New Standard Arithmetics Grade Five,DeGroat Harry DeW & Young William E,"0"
Irving Caesars Sing a Song of Safety,Caesar Irving,"0"
Irvings Sketch-Book,Sprague Homer B PhD,"0"
Island of the Blue Dolphins,ODell Scott,"0"
It Doesnt Take a Hero,Schwarzkopf General H Norman,"0"
It is Never Too Late to Mend,Reade Charles,"0"
Its Howdy Doody Time,Kean Edward,"0"
Ivanhoe,Scott Sir Walter,"0"
J & P Coats,J & P Coats 100 Embroidery Stitches,"0"
Jack and Jane,Freeman Frank N,"0"
Jack and the Beanstalk,Jerrod Jane,"0"
Jayne Mansfield,Mann May,"0"
Joseph Andrews,Fielding Henry,"0"
Journey Into Fear,Ambler Eric,"0"
Juggernaut,Bagley Desmond,"0"
Julius Caesar,Shakespeare William,"0"
Just Folks,Guest Edgar A,"0"
Just Like Ernie,Thompson Emily,"0"
Just a Corpse at Twilight,Van De Wetering Janwillem,"0"
"K"" is for Killer""",Grafton Sue,"0"
Katies Dating Tips,Haynes Betsy,"0"
Kelloggs Funny Jungleland Moving Pictures,Kellogg,"0"
Kentuckys Love or Roughing it Around Paris,King Edward,"0"
Kewpies - Dolls and Art,Axe John,"0"
Kewpies in Action,Leuzzi Marlene and Robert J Kershner,"0"
Kidnapped,Stevenson Robert Louis,"0"
Kill and Kill Again,Pentecost Hugh,"0"
Killing the Lawyers,Hill Reginald,"0"
Kimono for a Corpse,Melville James,"0"
King of the Grizzlies,Seton Ernest Thompson,"0"
Kitchen Fun Teaches Children to Cook Successfully,Bell Louise Price,"0"
Kitty Foyle,Morley Christopher,"0"
Know Your Ducks and Geese,Cartwright B W,"0"
Know the Navajo,Hassell Sandy,"0"
Knowledge Through Color House Plants,Compton Joan,"0"
Knowledge Through Color Weather and Weather Forecasting,Forsdyke AG,"0"
Kon Tiki Across the Pacific By Raft,Heyerdahl Thor,"0"
Kramer Versus Kramer,Corman Avery,"0"
LUrrabbiata Heyse,Lentz Max,"0"
La Reoma,Hill Laurance L,"0"
Lady,Tryon Thomas,"0"
Lalla Rookh an Oriental Romance,Moore Thomas,"0"
Lassie Adventure in Alaska,Stuart Corey,"0"
Last Man Standing,Baldacci David,"0"
Latin America Reform or Revolution,Petras James & Zeitlin Maurice,"0"
Lavender and Old Lace,Reed Myrtle,"0"
Le Morte dArthur,Malory Thomas,"0"
Let Go and Grow, Ackerrman Robrt J,"0"
Lets Talk About Dolls,Loving Nita,"0"
Liberty The Statue and the Dream,Allen Leslie,"0"
Libraries and Culture,Davis Jr Donald G Editor,"0"
Life - To the Moon and Back-Special Edition,Graves Ralph Managing Editor,"0"
Life Nature Library: The Birds,Peterson Roger Tory,"0"
Life Science Library Drugs,Modell Walter & Lansing Alfred,"0"
Life Science Library: Planets,Sagan Carl & Leonard Jonathan,"0"
Life Science Library: The Land and Wildlife of Australia,Bergamini David,"0"
Life Strategies,McGraw Phd Phillip C,"0"
Life World Library: France,Brogan D W,"0"
Life World Library: Germany,Prittle Terence,"0"
Life World Library: Mexico,Johnson William Weber,"0"
Life World Library: Russia,Thayer Charles W,"0"
Life an Introduction to Biology,Simpson George Gaylord & Pittendrigh Colin S & Tiffany Lewis H,"0"
Life and Song,Childe Mrs Hubert,"0"
Life is Just a Chair of Bowlies,Engelbreit Mary,"0"
Life the American Revolution,Luce Henry R,"0"
Life: Apollo 12 on the Moon,Graves Ralph Managing Editor,"0"
Lippincotts Review Series Pharmacology,Lippincott Catherine Paradiso,"0"
Little Chicks Breakfast,Kwitz Mary De Ball,"0"
Little Galoshes,Jackson Kathryn and Byron,"0"
Little Galoshes,Kathryn and Byron Jackson,"0"
Little House in the Big Woods,Wilder Laura Ingalls,"0"
Little Lord Fauntleroy,Burnett Frances Hodgson,"0"
Little Men,Alcott Louisa May,"0"
Little Miss Grasshopper,Dole Helen B,"0"
Little Miss Grasshopper,Spyri Johanna,"0"
Little Red Riding Hood,Feldman Thea,"0"
Little Sisters to the Camp Fire Girls or Blue Birds of Grassybank,Hyde E A Wtson,"0"
Little Women, Alcott Louisa May,"0"
Little Women,Alcott Louisa May,"0"
Living Loving & Learning,Buscaglia Leo PhD,"0"
London Blood,Hall Robert Lee,"0"
Lone Woman,Wilson Dorothy Clarke,"0"
Lord of The Flies,Golding William,"0"
Los Angeles Times Medwinter Edition 1945 - 1955,Graham William M,"0"
Los Angeles Times Midwinter Edition,Graham William M,"0"
Los Angeles Times Midwinter Edition,Greham William M,"0"
Los Angeles Times Midwitner Edition,Graham William M,"0"
Los Angeles Today,Los Angeles,"0"
Love,Mary,"0"
Love-Songs of Childhood,Field Eugene,"0"
Loving a Happy Dog,Shields Mary,"1.0"
Mad Monstrosities,Jaffee Al,"0"
Madame De Lafayette,Wright Constance,"1.0"
Main Street,Lewis Sinclair,"0"
Make No Bones,Elkins Aaron,"0"
Making Money in the Information Age,Richdale Brad,"0"
Mamista,Deighton Len,"0"
Managing the Non-Profit Organization,Drucker Peter F,"0"
Marathon Man,Goldman William,"0"
Mark Twain in the West,Benson Ivan,"0"
Marlin Perkins Zooparade,Perkins Marlin,"0"
Mary Roberts Rineharts Mystery Book,Rinehart Mary Roberts,"0"
Masonry,Time Life,"0"
Masterpiecces Oc the Norton Anthology,Sanders N K,"0"
Mathematics in Colleges & Universities,Lindquist Charles B,"0"
Mathew Bradys Illustrated History of the Civil War,Brady Mathew,"0"
Max Shulmans Large Economy Size,Shulman Max,"0"
Mazli,Spyri Johanna,"0"
McGuffeys Third Eclectic Reader,McGuffey,"0"
Medusa,Innes Hammond,"0"
Men Maidens & Mantillas,May Stella Burke,"0"
Men Without Women, Hemingway Ernest,"0"
Men Without Women,Hemingway Ernest,"0"
Michelle Remembers,Smith Michelle & Pazder Lawrence MD,"0"
Mictosoft Power Point 97,Haddad Alexandria & Christopher,"0"
Mictosoft Publisher 98,Reding Elizabeth Eisner,"0"
Millers Mind Training for Children,Miller William E,"0"
Miss Lollipops Lion,Varga Judy,"0"
Miss Martha Maryi Crawford,Marchant Catherine,"0"
Mistletoe Man,Albert Susan Wittig,"0"
Mitchells Reference and Distance Maps,Mitchell & Hinman,"0"
Moby Dick,Melville Herman,"0"
Modern Collectible Dolls Volume III,Moyer Patsy,"0"
Modern Collectors Dolls,Smith Patricia R,"1.0"
Modern English Handbook,Gorrell Robert M & Laird Charleton,"0"
Monster,Kellerman Jonathan,"0"
Moonlight Moods,Bloss Milo A,"0"
Moosetache,Palatini Margie,"0"
More About Rain and Life,Clark Rod,"0"
More Gilt=Edged Bonds,Fleming Ian,"0"
More Stories to Remember,Costain Thomas B & Beecroft John,"0"
Morning for Flamingos,Burke James Lee,"0"
Moses the Kitten,Herriot James,"0"
Mother Goose in Prose,Baum L Frank,"0"
Mr Britling Sees it Through,Wells H G,"0"
Mr Noah and His Family,Werner Jane,"0"
Mr Noah and the Animals,Matias,"0"
Mr Roberts,Heggen Thomas,"0"
Mrs Owens Cook Book and Useful Household Hints,Owens Mrs Frances E,"0"
Murder Must Advertise,Sayers Dorothy L,"0"
Murder My Suite,Daheim Mary,"0"
Murder On the Lusitania,Allen Conrad,"0"
Murder Under Blue Skies,Scott Willard,"0"
Murder at the Gardner,Langton Jane,"0"
Murder at the National Gallery,Truman Margaret,"0"
