Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Law, Hartland M..D. And Herbert E. Law, F.C.S.","Viavi Hygiene for Women, Men, and Children",The Viavi Company,Good,No Jacket,Hard Cover,Medical,,1905,,610,
"Dunsany, Lord",The Gods of Pegana,Elkin Mathews,Poor,No Jacket,Hard Cover,Fantasy,,1905,1st Edition,94,
"DeLee, Joseph B., M.D.",Obstetrics for Nurses,W. B. Saunders Company,Poor,No Jacket,Hard Cover,Medical,,1906,,512,
"Taylor, Frances Lillian",Nursery Tales,F. A. Owens Co. & Hall & McCreary,Poor,No Jacket,Soft Cover,Child's Book,,1906,,32,
"Woolard, Samuel Francis",The Beauties of Friendship,The Goldsmith Publishing Co.,Poor,No Jacket,Soft Cover,Fiction,,1906,,60,
"Malory, Thomas",Le Morte d'Arthur ,J.M. Dent & Co.,Poor,No Jacket,Hard Cover,Prose,,1906,,,Middle English
"Bryan, William Jennings",The Old World and Its Ways,"The Thompson Publishing Ci,",Poor,No Jacket,Hard Cover,Historical,,1907,,575,
"Childe, Mrs. Hubert",Life and Song,Mrs. Hubert Childe,,No Jacket,Soft Cover,Collector,No ISBN,1907,,58,
"Kipling, Rudyard",Captains Courageous,"Aerie Books, Ltd",Good,No Jacket,Soft Cover,Classic,559029838,1907,,176,
"Milton, Uncle",The Sunbonnet Twins,Cupples & Leon Co.,Fair,No Jacket,Hard Cover,Child's Book,,1907,,,
"Service, Robert",The Spell of the Yukon,"Dodd, Mead & Co",Poor,No Jacket,Hard Cover,Poetry,No ISBN,1907,,126,
"Sterling, Sara Hawks",A Lady of King Arthur's Court,George W. Jacobs & Co.,Poor,No Jacket,Hard Cover,Collector,,1907,,259,
Uncle Milton,The Sunbonnet Twins,Cupples & Leon Co.,Fair,No Jacket,Hard Cover,Child's Book,None,1907,,,
"Vance, Louis Joseph",Terence O'Rourke Gentleman Adventurer,The Bobbs-Merrill Company,Fair,No Jacket,Hard Cover,Romance,,1907,,393,
"Green, Allen Ayrault",The Land of Lost,"Small, Maynard and Company",Poor,No Jacket,Hard Cover,Child's Book,,1908,,142,
"Mifflin, Houghton",The Children's Own Longfellow,Houghton Miffin Co.,As New,Very Good,Hard Cover,Poetry,,1908,,103,
"Morse, Sidney",Household Discoveries,The Success Company,Poor,No Jacket,Hard Cover,Cook Book & Household Hints,None,1908,,,
Rosco James Ham and Arthur Newton Leonard,Brief German Grammar,Ginn and Company,Poor,No Jacket,Hard Cover,Education,No ISBN,1908,,241,
"Morse, Sidney",Household Discoveries and Mrs. Curtis's Cookbook,The Success Company,Poor,No Jacket,Hard Cover,Cook Book,None,1909,,744,
"Eliot, Charles W. LLD","The Harvard Classics, English Poetry",P. F. Collier & Son,Poor,No Jacket,Hard Cover,Poetry,,1910,,1508,This is a book in three parts
"Robinson, Anna",The Chatterbox Book of Soldiers and Sailors,Boston and Dana Estes & Co.,Fair,No Jacket,Hard Cover,Child's Book,None,1910,,,
"Smith, Jeesie Wilcox",A Child's Book of Old Verses,Duffield & Company,Poor,No Jacket,Hard Cover,Child's Book,None,1910,,,
"Whipple, Wayne",The Story of the White House,Henry Altemus Co.,Poor,No Jacket,Hard Cover,Historical,,1910,,140,
"Barrie, J. M.",Peter Pan and Wendy,Charles Scribner & Son,Very Good,No Jacket,Hard Cover,Child's Book,,1911,,185,
"Burnett, Frances Hodgson",Little Lord Fauntleroy,Charles Scribner & Son,Fair,No Jacket,Hard Cover,Child's Book,,1911,,246,
"Delort, Robert",The Life and Lore of the Elephant,"Harrry N. Abrams, Inc.",As New,No Jacket,Soft Cover,Education,810928485,1911,,191,
"Hart, C. A. & Feldman, Daniel D.",Plane and Solid Geometry,American Book Comp,Poor,No Jacket,Hard Cover,Education,None,1911,,488,
"Neil, Marion Harris",The Story of Crisco,Proctor & Gamble Co.,Poor,No Jacket,Hard Cover,Cook Book,,1911,,231,
"Dunsany, Lord",The Gods of Pegana,Pegana Press,Good,No Jacket,Hard Cover,Fantasy,,1911,,94,
"Bragg, Patricia",Apple Cider Vinegar,Health Science,As New,No Jacket,Soft Cover,Health,9.78E+12,1912,,136,
"Gilbert, Henry",Robin Hood,"Books, Inc.",Good,Poor,Hard Cover,Collector,,1912,,304,
"Strindberg, August",Fadern,Albert Bonniers Forlan,Poor,No Jacket,Soft Cover,Collector,,1912,,118,
"Dunsany, Lord",The Book of Wonder,William Heinemann,Good,Fair,Hard Cover,Fantasy,,1912,,,
"Rohmer, Sax",The Quest of the Sacred Slipper,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1913,,293,
"Seton, Ernest Thompson",Wild Animals at Home,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Education,No ISBN,1913,,126,
"War, Great",America's Army,Divisions,Good,No Jacket,Soft Cover,Education,,1914,,,
"Eliot, Georgge",Silas Marner,Macmillan Publishing Company,Poor,No Jacket,Hard Cover,Collector,No ISBN,1915,,213,
"Franck, Harry A.",A Vagabond Journey Around the World,The Century Co.,Poor,No Jacket,Hard Cover,Travel,,1915,,502,
"Grover, Eulalie Osgood",The Sunbonnet Babies in Holland,Rand McNally & Company,Poor,No Jacket,Hard Cover,Child's Book,,1915,,150,
"Rohmer, Sax",The Yellow Claw,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1915,,427,
"Woodbridge, W. W.",That Something,The Smith-digby Company,Fair,No Jacket,Hard Cover,Collector,,1915,11th Edition,54,
"Fryer, Jane Eayre",The Mary Frances First Aid Book,Jane Eayre Fryer,Poor,No Jacket,Hard Cover,Collector,No ISBN,1916,,144,
"Garrison, Paul",Sand and Foam,Alfred A. Knopf,Good,Good,Hard Cover,Adventure,None,1916,,85,
"Hancock, John",The American Flag,Livermore & Knight Co.,Poor,No Jacket,Soft Cover,Political,,1916,,19,
"Hubler, Edward",Eminent Artists in 14 Volumes,Roycrofterd,Poor,No Jacket,Hard Cover,Historical,None,1916,,,
"Rohmer, Sax",The Return of Dr. Fu-Manchu,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1916,,332,
"Shakespeare, William",Julius Caesar,Macmillan Publishing Company,Poor,No Jacket,Hard Cover,Collector,No ISBN,1916,,205,
"Tarkington, Booth",Penrod and Sam,"Doubleday , Page and Co.",Good,No Jacket,Hard Cover,Novel,None,1916,,356,
"Wells, H. G.",Mr. Britling Sees it Through,The MacMillan Company,Poor,No Jacket,Hard Cover,Collector,,1916,,443,
"Wiggin, Kate Douglas",The Romance of a Christmas Card,Houghton Miffin Co.,Fair,No Jacket,Hard Cover,Collector,No ISBN,1916,,124,
"Guest, Edgar A.",Just Folks,The Reilly & Lee Co.,Fair,No Jacket,Hard Cover,Poetry,None,1917,,192,
"Mayhew, Ralph and Burges Johnson",The Pet Bubble Book,Harper & Brothers,Poor,No Jacket,Hard Cover,Child's Book,,1917,,16,The covers of this book have been scotch taped. Not very neat.
"Rohmer, Sax",The Hand of Fu-Manchu,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1917,,308,
"Twain, Mark",A CONNECTICUT YANKEE IN KING ARTHUR'S COURT, New York: Modern Librar,Very Good,Good,Hard Cover,,,1917,,450,
"Cox, Palmer",The Brownies and Prince Florimel,The Century Co.,Poor,No Jacket,Hard Cover,Child's Book,,1918,,246,
"Dole, Helen B.",Little Miss Grasshopper,Thomas Y. Crowell Co,,,Hard Cover,Collector,No ISBN,1918,,76,
"Hyde, E. A. Wtson",Little Sisters to the Camp Fire Girls or Blue Birds of Grassybank,Rand McNally & Company,Fair,No Jacket,Hard Cover,Collector,,1918,,64,
"Perdue, H. Avis",Child Life in Other Lands,Rand McNally & Company,Good,No Jacket,Hard Cover,Historical,,1918,,232,
"Porter, Gene Stratton",A Daughter of The Land,Doubleday Page & Co.,,,Hard Cover,Collector,No ISBN,1918,,475,
"Porter, Gene Stratton",A Daughter of the Land,"Doubleday, Page & Co.",Fair,No Jacket,Hard Cover,Novel,None,1918,,475,
"Spyri, Johanna",Little Miss Grasshopper,Thomas Y Crowell & Co.,Poor,No Jacket,Hard Cover,Child's Book,,1918,,76,
"Houston, Peracyi Hazen & Bonnell, John Kester",Types of Great Literature,"Doubleday & Company, Inc.",,,Hard Cover,Collector,No ISBN,1919,,542,
"Rohmer, Sax",Dope,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1919,,385,
"Rohmer, Sax",Tales of Secret Egypt,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1919,,313,
"Day, Clarence",The Best of Clarence Day,Alfred A. Knoff,Fair,Very Good,Hard Cover,Collector,No ISBN,1920,,451,
"Hart, Harold H.",The Bawdy Bedside Reader,Bell Publishing Co.,Good,Good,Hard Cover,Humor,No ISBN,1920,,475,
"Hoyt, Franklin S. & Peet, Harriet E.","Everyday Arithmetic, Advanced Book",Houghton Miffin Co.,Fair,No Jacket,Hard Cover,Education,No ISBN,1920,,326,
"Lewis, Sinclair",Main Street,New American Library,Very Good,No Jacket,Soft Cover,Collector,,1920,,439,
"Miller, William E,",Miller's Mind Training for Children,William E. Miller,Poor,No Jacket,Hard Cover,Education,None,1920,,110,
"Rohmer, Sax",The Green Eyes of Bast,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1920,,311,
"Yates, Raymond F.",Boys' Book of Model Boats,The Century Co.,Poor,No Jacket,Hard Cover,Self Help,,1920,,215,
"Rohmer, Sax",Bat Wing,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1921,,333,
"Spyri, Johanna",Mazli,A. L. Burt Company,Very Good,No Jacket,Hard Cover,Child's Book,None,1921,,,
"Woodhead, H. G. W.","The China Year Book, 1921-2",Tientsin Feather Co. LTD,,,Hard Cover,Collector,No ISBN,1921,,1062,
"Norton, Thomas James",The Constitution of the United States,"Committee for Constitutional Government, Inc.",Good,No Jacket,Hard Cover,Historical,No ISBN,1922,,319,
"Piper, Watty",Children's Hour with Cinderell & Other Stories,Platt & Munk,Fair,No Jacket,Hard Cover,Child's Book,None,1922,,,
"Rohmet, Sax",Firre-Tongue,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1922,,304,
"Graham, Frank D. & Emery, Thomas J.",Audel's Carpenteers and Builders Guide #4,"Theo, Audel & Co.",Very Good,Very Good,Hard Cover,Education,None,1923,,,
"Guest, Edgar A.",My Job as a Father and What My Father Did for Me,The Riley and Lee Co.,Good,No Jacket,Hard Cover,Biography,,1923,,64,
Los Angeles,Los Angeles Today,Neuner Corporation,Good,No Jacket,Soft Cover,Historical,,1923,,32,
"May, Stella Burke","Men, Maidens & Mantillas",The Century Co.,Fair,No Jacket,Hard Cover,Novel,None,1923,,362,
"Kline, R. E. Pattison",Authorities on Oratory Us of illustrat Ions,North American Institute,Good,No Jacket,Hard Cover,Education,,1924,,148,
"Kline, R. E. Pattison",Selected Speeches for Practice,North American Institute,Good,No Jacket,Hard Cover,Education,,1924,,133,
"Kline, R. E. Pattison",Training of the Voice,North American Institute,Good,No Jacket,Hard Cover,Education,,1924,,128,
"Magonigle, H. Van Buren","Nature, Practice & History",Charles Scribner & Son,Very Good,Fine,Hard Cover,Education,,1924,,319,
R. E. Pattison Kline,"Authorities on Oratory, Use of Illustrations, After Dinner Speaking Arguments",North American Institute,Poor,No Jacket,Hard Cover,Education,None,1924,,,
R. E. Pattison Kline,Selected Speeches for Practice,North American Institute,Poor,No Jacket,Hard Cover,Education,None,1924,,,
R. E. Pattison Kline,Training of the Voice,North American Institute,Poor,No Jacket,Hard Cover,Education,None,1924,,,
"Rohmer, Sax",Grey Face,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1924,,331,
"Eliot, Georgge",Silas Marner,John C. Winston Company,Good,No Jacket,Hard Cover,Collector,No ISBN,1925,,315,
"Engel, Howard","Murder in Montparnasse, A Literariy Mystery of Paris",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,none,1925,,,
"Rohmer, Sax",Yellow Shadows,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,No ISBN,1925,,299,
"Spyri, Johanna",Vinzi,A. L. Burt Company,Poor,No Jacket,Hard Cover,Child's Book,,1925,,297,
"Stevenson, Robert Louis",Kidnapped,J. F. Ferguson and Associates,Poor,No Jacket,Hard Cover,Child's Book,no ISBN,1925,,339,
" deBalzac, Honore",Complete Novelettes of Honore De Balzac,P. F. Collier & Son,Very Good,No Jacket,Hard Cover,Novel,None,1926,,1005,
"Christie, Agatha",The Under Dog and Other Stories,Berklely Books,Good,No Jacket,Soft Cover,Mystery,425068080,1926,,215,
"Kinsey, Don J.",The Romance of Water & Power,Dept of Water and Power,Good,No Jacket,Soft Cover,Education,,1926,,39,
"Rhead, Louis",The Arabian Nights Entertainments,Harper & Brothers,Fair,No Jacket,Hard Cover,Classic,,1926,,430,
"Spyri, Johanna","Eveli, The Little Singer",A. L. Burt Company,Fair,No Jacket,Hard Cover,Child's Book,,1926,,272,
"Truman, Harry",Here's Harry!,Hallmark Editions,Good,No Jacket,Soft Cover,Historical,,1926,,,
"Dine, S.S. Van","The Canary"" Murder Case""",Grosset & Dunlap,Fair,No Jacket,Hard Cover,Mystery,,1927,,,
"Freeman, Frank N.",Jack and Jane,California State Series,Poor,No Jacket,Hard Cover,Child's Book,,1927,,152,
"Lurie, Charles N.",How to Say it,G. P. Putnam Sons,Poor,No Jacket,Hard Cover,Education,None,1927,,312,
"Neblette, C. B. , F.R.P.S.","Photography, Its Princi;les and Practive",D. Van Nostrand Company,Fair,No Jacket,Hard Cover,Education,No ISBN,1927,,865,
Non Denominational,California Military Academy,California Military Academy,Fair,No Jacket,Mass Market Paperback,Paperback,none,1927,,,
"O'Harra, Cleophas C.",O'Harra's Handbook of the Black Hills,The Black Hills Handbook Co.,Very Good,No Jacket,Soft Cover,Collector,,1927,,175,
"Stratton- Porter, Gene",The Magic Garden,Grosset & Dunlap,Fair,Poor,Hard Cover,Novel,,1927,,272,
The Literary Digest,Atlas of the World and Gazetteer,Funk & Wagnalls Co.,Poor,No Jacket,Hard Cover,Encyclopeia,,1927,,192,
"Van Dine, S.S.","The Canary"" Murder Case""",Grosset & Dunlap,Fair,No Jacket,Hard Cover,Mystery,,1927,,343,
"Alcott, Louisa May",Little Men,The John C. Winston Co.,Fair,No Jacket,Hard Cover,Young Adult,,1928,,349,
"Beard, Charles A.",American Government and Politics,The MacMillan Co.,Fair,No Jacket,Hard Cover,Political,None,1928,1st Edition,820,
Charles Beard,American Government and Politics,Macmillan Publishing Company,Good,No Jacket,Hard Cover,Non-Fiction,,1928,5th Printing,,
"Scholes, Percy A.",A Miniature History of Music,Oxford University Press,Poor,No Jacket,Hard Cover,Historical,None,1928,,53,
"Wood, W. G. & None Others",Home Cyclopedia of Health,"Flynn, Fletcher and Lonsdale",Poor,No Jacket,Mass Market Paperback,Medical,,1928,,,
"Christie, Agatha",Murder at the Manor (Three stories),Mystery Guild,As New,Fine,Hard Cover,Mystery,073943828X,1929,,513,
"Haynes, Betsy",The Fabulous Five,A Bantam Starlight Book,,No Jacket,Soft Cover,Novel,553157485,1929,,208,
"Hill, Laurance L.",La Reoma,Security Trust & Savings Bank,Poor,No Jacket,Soft Cover,Historical,,1929,,208,
"The Platt & Monk Co., Inc.",Children's Hour with Cinderella and Other Stories,The Platt & Munk Co.,Good,No Jacket,Hard Cover,Child's Book,None,1929,,,
"Canby, Henry Seidel",Thoreau,Houthton Mifflin,Good,No Jacket,Hard Cover,Novel,,1930,,507,
"deSchweinitz, Karl",Growing Up,The MacMillan Co.,Poor,No Jacket,Hard Cover,Education,,1930,,111,
"Kent, Rockwell",N By E,New York Literary Guild,Good,No Jacket,Hard Cover,Adventure,None,1930,,281,
"Christie, Agatha",The Murder at Hazelmoor,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0-425-10406-0,1931,,228,
"Grant, Gordon",Unrolling the Map,Reynal & Hitchcock,Good,No Jacket,Hard Cover,Education,None,1931,,,
"Hope, Laura Lee",The Bobbsey Twins' Wonderful Secret,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Child's Book,None,1931,,246,
"Hoyt, Vance Joseph",Sequoia,Grosset & Dunlap,Good,No Jacket,Hard Cover,Collector,No ISBN,1931,,272,
"Lamont, R. P.","Furniture, It's Selection and Use",U. S. Department of Commerce,Fair,No Jacket,Soft Cover,Collector,,1931,,113,
"Rigney, Francis J.",Here are the Things That Santa Claus Brings,The Goldsmith Publishing Co.,Good,No Jacket,Soft Cover,Child's Book,,1931,,,
"James, M. R.",The Collected Ghost Stories,Edward Arnold,Good,No Jacket,Hard Cover,Horror,,1931,1st Edition,,
"Bell, Louise Price","Kitchen Fun, Teaches Children to Cook Successfully",The Harter Publishing Co.,Poor,No Jacket,Soft Cover,Child's Book,,1932,,28,
"Cox, Eva Winn",A Visit to Santa Claus Land,Cox Features,Good,No Jacket,Soft Cover,Child's Book,None,1932,,,
"Hudson, Arthur K.",The Lonesome Gnome,E. R. Squibb & Sons,Good,No Jacket,Soft Cover,Child's Book,,1932,,,
