AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Disney, Walt",Walt Disneys Story Land,Golden Press,As New,No Jacket,Hard Cover,Childs Book,NULL,1962,NULL,319,NULL
"Howells, William",The Heathens,Sheffields Publishing Co.,Good,No Jacket,Soft Cover,Historical,881332402,1962,NULL,302,NULL
"Konvitz, Milton R. & Whicher, Stephen E.",Emerson,"Prentice Hall, Inc.",Good,No Jacket,Hard Cover,Education,NULL,1962,NULL,198,NULL
"LaVien, Jack & Lord, John",Winston Churchill: The Valiant Years,Scholastic Book Services,Good,No Jacket,Soft Cover,Historical,NULL,1962,NULL,424,NULL
"LEngle, Madeleine",A Wrinkle in Time,A Yearling Book,Fair,No Jacket,Soft Cover,Young Adult,440498058,1962,NULL,211,NULL
"LeVien, Jack, and John Lord",The Valiant Years,Scholastic,Fair,No Jacket,Soft Cover,Autobiography,NULL,1962,NULL,424,NULL
"Myrick, David F.",Railroads of Nevada & Eastern California Vol. 1,Howell-North,Very Good,Fine,Half-Leather,Historical,NULL,1962,NULL,443,NULL
National Geographic,Americas Historylands,National Geographic,Very Good,Good,Hard Cover,Historical,NULL,1962,NULL,576,NULL
"Rhodes, Frank H.T.",Fossils,Golden Press,Good,No Jacket,Soft Cover,Education,307244113,1962,NULL,160,NULL
"Stewart, Mary",The Moon-Spinners,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,NULL,1962,NULL,223,NULL
Walt Disney,Walt Disneys Story Land,A Golden Book,Good,No Jacket,Hard Cover,Childs Book,NULL,1962,NULL,319,NULL
"Beebe, Lucius",The Central Pacific & the Southern Pacific Railroads,Howell North Books,Very Good,Very Good,Hard Cover,Historical,NULL,1963,NULL,631,Centennial Edition
"Beebe, Lucius and Charles Clegg",Virginia & Truckee,Howell-North,Very Good,No Jacket,Soft Cover,Historical,NULL,1963,NULL,NULL,NULL
"Bunn, Martin",Gus Wilsons Model Garage,Berkley Medallion Book,Good,No Jacket,Soft Cover,Education,NULL,1963,NULL,160,NULL
"Caldwell, Taylor",The Late Clara Beame,Fawcett Books,Fair,No Jacket,Soft Cover,Mystery,NULL,1963,NULL,143,NULL
"Da Silva, Zenia Sacks",Beginning Spanish,Harper and Rowe,Very Good,No Jacket,Hard Cover,Spanish,NULL,1963,NULL,426,NULL
"Da Silva, Zenia Sacks","Spanish, A Concept Approach","Harper & Row,",Very Good,No Jacket,Hard Cover,Spanish,NULL,1963,NULL,NULL,NULL
Dr. Seuss,Dr. Seusss A B C,Random House,Poor,No Jacket,Hard Cover,Childs Book,NULL,1963,NULL,NULL,NULL
"Hubler, Edward","Wm. Shakespeare, The Tragedy of Hamlet",Signet Classics,Fair,No Jacket,Soft Cover,Education,NULL,1963,NULL,269,NULL
"Hurwood, Bernhardt J.",Terror By Night,Lancer Books,Poor,No Jacket,Soft Cover,Fantasy,NULL,1963,NULL,127,NULL
"Knebel, Fletcher & Bailey, Charles W. II",Seven Days in May,Harper & Row,Very Good,Good,Hard Cover,Fiction,NULL,1963,1,NULL,NULL
"London, Jack",The Call of the Wild,Grosset & Dunlap,Good,No Jacket,Hard Cover,Adventure,NULL,1963,NULL,152,NULL
"Michener, James A.",Caravans,Bantam Books,Good,No Jacket,Soft Cover,Novel,NULL,1963,NULL,370,NULL
"Monaghan, Jay",The Book Of the American West,Simon & Schuster,Poor,No Jacket,Hard Cover,Historical,NULL,1963,NULL,608,NULL
"Mowat, Farley",Never Cry Wolf,Bantam Books,Fair,No Jacket,Soft Cover,Historical,553133012,1963,NULL,164,NULL
"Myrick, David F.",Railroads of Nevada and Eastern California Vol.2,Howell-North,Very Good,Fine,Hard Cover,Historical,NULL,1963,NULL,933,NULL
"Peterson, Roger Tory",Life Nature Library: The Birds,"Time, Inc.",NULL,NULL,Hard Cover,Education,NULL,1963,NULL,192,NULL
"Queens, Ellery",Mysteryi Magazine,Detective Book Club,Fair,No Jacket,Soft Cover,Short Stories,NULL,1963,NULL,162,NULL
"Robertson, Keith",Henryi Reeds Journey,A Yearling Book,Fair,No Jacket,Soft Cover,Novel,440435552,1963,NULL,220,NULL
"Sewell, Anna",Black Beauty,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Childs Book,NULL,1963,NULL,276,NULL
"Shakespeare, William",Hamlet,Signet Classics,Very Good,No Jacket,Soft Cover,Classic,NULL,1963,NULL,271,NULL
"Varga, Judy",Miss Lollipops Lion,William Morrow,As New,Fine,Hard Cover,Collector,NULL,1963,NULL,30,NULL
"Weet, Morris L.",The Shoes of the Fisherman,A Del Book,Fair,No Jacket,Soft Cover,Novel,NULL,1963,NULL,288,NULL
"Amrine, Michael",This Awesome Challenge,Popular Library,Very Good,No Jacket,Soft Cover,Non-Fiction,NULL,1964,NULL,NULL,NULL
"Appleman, John Alan",How to Increase Your Money-Making Power,"Frederick Fell, Inc.",Poor,No Jacket,Hard Cover,Self Help,NULL,1964,NULL,247,NULL
"Austen, Jane",Emma,The New American Library,Good,No Jacket,Soft Cover,Novel,NULL,1964,NULL,396,NULL
"Bergamini, David",Life Science Library: The Land and Wildlife of Australia,Time Inc.,NULL,NULL,Hard Cover,Education,NULL,1964,NULL,198,NULL
"Fitzhugh, Louise",Harriet the Spy,A Yearling Book,Good,No Jacket,Soft Cover,Childs Book,0440434475,1964,NULL,298,NULL
"Fitzhugh, Louise",Harriet the Spy,Troll Associates,Good,No Jacket,Soft Cover,Childs Book,60219106,1964,NULL,298,NULL
"Gardner, Earl Stanley",The Case of the Horrified Heirs,"Walter J. Black, Inc.",Very Good,No Jacket,Hard Cover,Mystery,NULL,1964,NULL,171,NULL
"Gardner, Earl Stanley",The Case of the Phantom Fortune,"Walter J. Black, Inc.",Very Good,Fair,Hard Cover,Mystery,NULL,1964,NULL,173,NULL
"Harroy, Franco Tassi, Fulco Pratesi * Christopher Humphries",National Parks of the World in Color,Bounty Books,Fair,Poor,Hard Cover,Travel,NULL,1964,NULL,128,NULL
"Higgins, Jack",Passage By Night,A Signet Book,Good,No Jacket,Soft Cover,Mystery,451150392,1964,NULL,207,NULL
"Jacobs, J. Vernon",500 Little Known Stories from American History,Christian Crusade Publications,Good,No Jacket,Soft Cover,Historical,NULL,1964,NULL,187,NULL
John D. MacDonald,A Purple Place for Dying,Detective Book Club,Fair,No Jacket,Hard Cover,Fiction,NULL,1964,NULL,NULL,NULL
"Kaplan, Bert",The Inner World of Mental Health,Harper and Rowe,Fair,No Jacket,Soft Cover,Health,NULL,1964,NULL,467,NULL
"Loving, Nita",Lets Talk About Dolls,"United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,NULL,1964,NULL,32,NULL
"MacArthur, Douglas","Reminiscences, General of the Army Douglas MacArthur",McGraw Hill,Good,No Jacket,Soft Cover,Autobiography,NULL,1964,1,496,NULL
"MacDonald, John",A Purple Place for Dying and Two More Books,Detective Book Club,Fair,No Jacket,Hard Cover,Novel,NULL,1964,NULL,NULL,NULL
"Monsarrat, Nicholas",The Cruel Sea,Washington Square Press,Fair,No Jacket,Soft Cover,Historical,NULL,1964,NULL,501,NULL
"Payne, Elizabeth",The Pharaohs of Ancient Egypt,Random House,Good,No Jacket,Soft Cover,Education,0394846990,1964,NULL,180,NULL
"Pearl, Richard M.","The Collectors Encyclopedia, Gems, Minerals, Crystals & Ores",Golden Press,Good,No Jacket,Soft Cover,Collector,NULL,1964,NULL,NULL,NULL
Peters Ellis,Flight of the Witch,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1964,NULL,NULL,NULL
"Taylor, Jock",One Hundred Years Ago in Nevada,"Western Sales Distributing, Inc.",Fair,No Jacket,Soft Cover,Historical,NULL,1964,NULL,372,NULL
"Temple, Willard",Too Young to be a Grandfather,Readers Digest,As New,Fair,Hard Cover,Advanced Reading Copy (ARC),NULL,1964,NULL,NULL,NULL
"Bradley, Robert A., M.D.",Husband--Coached Childbirth,Harper & Row,Very Good,Fair,Hard Cover,Medical,NULL,1965,NULL,208,NULL
"Bushnell, Eleanore",The Nevada Constitution,University of Nevada Press,Good,No Jacket,Soft Cover,Historical,NULL,1965,NULL,181,NULL
"Canfield, Jack & Hansen, Mark Victor",In Cold Blood,Random House,Good,No Jacket,Printer Wrapper,Novel,NULL,1965,NULL,384,NULL
"Capote, Truman",In Cold Blood,A Signet Book,Very Good,No Jacket,Soft Cover,Thriller,NULL,1965,NULL,384,NULL
"Ccoper, Susan","Over Sea, Under Stone","Scholastic, Inc.",Fair,No Jacket,Soft Cover,Childs Book,590433202,1965,NULL,243,NULL
"Christie, Agatha",13 at Dinner,Dell,Fair,No Jacket,Soft Cover,Mystery,NULL,1965,NULL,224,NULL
"Christie, Agatha",Poirot Loses a Client,Dell,Fair,No Jacket,Soft Cover,Mystery,NULL,1965,NULL,252,NULL
"Cline, C. Terry , Jr.",Damon,Fawcett Crest,NULL,No Jacket,Soft Cover,Novel,NULL,1965,NULL,320,NULL
"Colcleaser, Donald E.",Bottles of Bygone Days,Donald E. Colcleaser,NULL,No Jacket,Soft Cover,Collector,NULL,1965,NULL,92,NULL
"Cooper, Susan","Over Sea, Under Stone",Scholastic,Fair,No Jacket,Soft Cover,Novel,0590433202,1965,NULL,243,NULL
"Dutton, Bertha P.",Indians of the Southwest,"Southwestern Assoc. On Indian Affairs, Inc.",Poor,No Jacket,Soft Cover,Historical,NULL,1965,NULL,160,NULL
"Dutton, Bertha P.",Indians of the Southwest,"Southwestern Assoc. On Indian Affairs, Inc.",Poor,No Jacket,Soft Cover,Historical,NULL,1965,NULL,NULL,NULL
"Gardner, Earl Stanley",The Case of the Beautiful Beggar,"Walter J. Black, Inc.",Very Good,Good,Hard Cover,Mystery,NULL,1965,NULL,180,NULL
"Gardner, Earl Stanley",The Case of the Troubled Trustee,"Walter J. Black, Inc.",Fair,Fair,Hard Cover,Mystery,NULL,1965,NULL,168,NULL
"Herlan, Peter J.",The Nevada Birdwatcher,Nevada State Museum,Very Good,No Jacket,Soft Cover,Education,NULL,1965,NULL,NULL,NULL
"Herlan, Peter J.",The Nevada Highway Birdwatcher,Nevada State Museum,Fair,No Jacket,Soft Cover,Historical,NULL,1965,NULL,49,NULL
"Hitchcock, Alfred",Stories Not for the Nervous,Random House,Very Good,Fair,Hard Cover,Fantasy,NULL,1965,NULL,363,NULL
"Kernan, Alvin B.",Classics of the Modern Theater,"Harcourt Brace & World, Inc.",Poor,No Jacket,Soft Cover,Education,NULL,1965,NULL,538,NULL
"Lindquist, Charles B.",Mathematics in Colleges & Universities,"U.S.Department of Health, Education, and Welfare",Fair,No Jacket,Soft Cover,Education,NULL,1965,NULL,104,NULL
"Post, Elizabeth L.",Emily Posts Pocket Book of Etiquette,Pocket Books,Fair,No Jacket,Soft Cover,Education,NULL,1965,NULL,467,NULL
"Scott, Sir Walter",Ivanhoe,Harper and Rowe,As New,Good,Hard Cover,Classic,NULL,1965,NULL,443,NULL
"Serling, Rod",The Twilight Zone,Grosset & Dunlap,Poor,No Jacket,Soft Cover,Horror,NULL,1965,1,190,NULL
"Stone, Irving",Those Who Love,Doubledaiy & Co.,Poor,No Jacket,Hard Cover,Novel,NULL,1965,NULL,602,NULL
"Stout, Rex",The Doorbell Rang,ImPress Mystery,As New,No Jacket,Hard Cover,Novel,076218857,1965,NULL,207,NULL
"Wanous S. J. & Haggblade, Berle",Personal Typewriting for Jr. H. S.,South-Western Pub.,Poor,No Jacket,Hard Cover,Education,NULL,1965,NULL,122,NULL
"Wanous, S. J. And Haggblade, Berle",Personal Typewriting,South Western Publishing Co.,Poor,No Jacket,Hard Cover,Education,NULL,1965,NULL,NULL,NULL
"Wister, Owen",The Virginian,Paperback Library,Fair,No Jacket,Soft Cover,Western,NULL,1965,NULL,319,NULL
"Bateman, Thelma","Delightful Dolls, Antique and Otherwise",Hobby House Press,Fair,Fair,Hard Cover,Collector,NULL,1966,NULL,237,NULL
"Blumenstein, Lynn","Bottle Rush, U. S. A",Old Time Bottle Pub.,Fine,No Jacket,Soft Cover,Collector,NULL,1966,NULL,182,NULL
"Borgeson, Griffith",The Golden Age of the American Racing Car,Bonanza Books,Very Good,Good,Hard Cover,Historical,NULL,1966,NULL,288,NULL
"Buxton, Frank & Owen, Bill",The Big Broadcast 1920-1950,Avon,Good,No Jacket,Soft Cover,Novel,380010585,1966,NULL,NULL,NULL
"Carter, Eleanor Jean","Doll News, February 1966","United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,NULL,1966,NULL,35,NULL
"Clavell, James",Tai-Pan,Dell,Fair,No Jacket,Soft Cover,Novel,440184622,1966,NULL,734,NULL
"Drury, Allen",Capable of Honor,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Adventure,NULL,1966,NULL,531,NULL
"Fay, JR, Paul B.",The Pleasure of His Company,Popular Library,Very Good,No Jacket,Soft Cover,Memoir,NULL,1966,NULL,262,NULL
"Fichter, George S.",Insect Pests,Golden Press,Good,No Jacket,Soft Cover,Education,307240169,1966,NULL,160,NULL
"Hitchcock, Alfred",A Hangmans Dozen,A Dell Book,Very Good,No Jacket,Soft Cover,Mystery,NULL,1966,NULL,222,NULL
"Lane, Mark",Rush to Judgment,Faucett Crest,Very Good,No Jacket,Soft Cover,Historical,NULL,1966,NULL,396,NULL
"Lane, Mark",Rush to Judgment,Fawcett Crest,Very Good,No Jacket,Soft Cover,Historical,NULL,1966,NULL,396,NULL
"Lewis, C.S.",Till We Have Faces,Time Life Books,Very Good,No Jacket,Soft Cover,Mythology,NULL,1966,NULL,275,NULL
"Picoult, Jodi",Nineteen Minutes,Atria Books,As New,As New,Hard Cover,Novel,14014,1966,NULL,455,NULL
"Robbins, Chandler S., Bruun, Bertel & Zim, Herbert S.",Birds of North America,Golden Press,Fair,No,Soft Cover,Education,NULL,1966,NULL,340,NULL
"Sagan, Carl & Leonard, Jonathan",Life Science Library: Planets,Time Inc.,NULL,NULL,Hard Cover,Education,NULL,1966,NULL,200,NULL
"Trevor-Roper, H. R.",The Last Days of Hitler,"Collier Books, New York",Poor,No Jacket,Soft Cover,Historical,NULL,1966,NULL,318,NULL
"White, Gwen",european and American Dolls,Crescent Books,Very Good,Good,Hard Cover,Collector,0517390922,1966,NULL,274,NULL
"Whitney, Phyllis A.",Columbella,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,NULL,1966,NULL,256,NULL
" Gardner, Earl Stanley",The Case of the Queenly Contestant,"Walter J. Black, Inc.",Very Good,Poor,Hard Cover,Mystery,NULL,1967,NULL,167,NULL
"Aird, Catherine",A Most Contagious Game,Bantam Books,Fair,No Jacket,Soft Cover,Mystery,553206753,1967,NULL,181,NULL
"Barnard, Christiaaan",One Life,Readers Digest,Very Good,Fair,Hard Cover,Various,NULL,1967,NULL,NULL,NULL
"Beebe, Lucius",The Big Spenders,Pocket Books,Good,No Jacket,Soft Cover,Humor,NULL,1967,NULL,449,NULL
"Braun, Lillian Jackson",The Cat Who Ate Danish,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515087122,1967,NULL,247,NULL
"Cox, Palmer",The Brownies: Their Book,McGraw Hill,Good,Poor,Hard Cover,Childs Book,NULL,1967,NULL,144,NULL
"Davis, S. C. H.",Cars Cars Cars Cars,Hamlyn Publishing Group,Fine,Very Good,Hard Cover,Historical,600025020,1967,NULL,137,NULL
"Disney, Walt",The Jungle Book,Westerm Publishing,As New,No Jacket,Hard Cover,Childs Book,NULL,1967,NULL,NULL,NULL
Editors of Hot Rod Maazine,Hot Rod Chassis Construction,A Signet Book,Good,No Jacket,Soft Cover,Education,NULL,1967,NULL,383,NULL
Editors of Hot Rod Magazine,Hot Rod Engines,A Signet Book,Fair,No,Soft Cover,Education,NULL,1967,NULL,384,NULL
"Farago, Ladislas",The Broken Seal,Bantam Books,Fair,No Jacket,Soft Cover,Historical,NULL,1967,NULL,464,NULL
"Galbraith, John Kenneth",New Industrial State,Signet,Good,No Jacket,Soft Cover,Novel,NULL,1967,NULL,417,NULL
"Hoffmeister, Donald F.",Zoo Animals,Golden Press,Fair,No Jacket,Soft Cover,Education,307240193,1967,NULL,160,NULL
"Kipling, Rudyard",The Jungle Book,Golden Book,Fair,NULL,Hard Cover,Childs Book,NULL,1967,NULL,NULL,NULL
"McGlashan, Alan",Savage and Beautiful Country,Hillstone,Very Good,No Jacket,Soft Cover,Novel,883730359,1967,NULL,154,NULL
"Modell, Walter & Lansing, Alfred","Life Science Library, Drugs","Time, Inc.",NULL,NULL,Hard Cover,Education,NULL,1967,NULL,200,NULL
Mowgli Stories By Rudyard Kipling,The Jungle Book,Walt Disney,Good,No Jacket,Hard Cover,Childs Book,NULL,1967,NULL,NULL,NULL
"Peale, Norman Vincent",A Guide to Confident Living,Fawcett Crest,Fair,No Jacket,Soft Cover,Health,NULL,1967,NULL,192,NULL
"Reid, George K., Ph.D.",Pond Life,Golden Press,Good,No Jacket,Soft Cover,Education,307240177,1967,NULL,160,NULL
"Rynerson, Fred",Exploring and Mining Gems & Gold in the West,Naturegraph Publishers,Fair,No Jacket,Soft Cover,Historical,911010602,1967,NULL,204,NULL
"Stuart, Corey","Lassie, Adventure in Alaska",Weather Corporation,Good,No Jacket,Soft Cover,Adventure,NULL,1967,NULL,248,NULL
"Walker, Mort",Beele Bailey Potato Fancakes,Tom Doherty,Fair,No Jacket,Soft Cover,Comics,523413386,1967,NULL,NULL,NULL
"Wilder, Robert",The Sea and the Stars,G. P. Putnam,Good,No Jacket,Soft Cover,Novel,NULL,1967,NULL,376,NULL
"Williams, Hazel Pearson",Fun with Felt,Craft Course Publishers Inc.,Fair,No Jacket,Soft Cover,Art,NULL,1967,NULL,23,NULL
"Young, Helen",The Complete Book of Doll Collecting,G. P. Putnams Sons,Very Good,Fair,Hard Cover,Collector,NULL,1967,NULL,312,NULL
"Braun, Lillian Jackson",The Cat Who Turned On and Off,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515087947,1968,NULL,265,NULL
"Carter, Eleanor Jean","Doll News , February, 1968","United Federation of Doll Clubs, Inc.",Good,No Jacket,Soft Cover,Magazine,NULL,1968,NULL,28,NULL
"Christie, Agatha",By the Pricking of My Thumbs,"Dodd, Mead & Co",Good,Fair,Hard Cover,Mystery,NULL,1968,NULL,244,NULL
"Clarke, Arthur C.",2010: Odyssey Two,A Del Rey Book,Poor,No Jacket,Soft Cover,Science Fiction,345303067,1968,NULL,335,NULL
"Crichton, Michael",A Case of Need,Signet Books,Good,No Jacket,Soft Cover,Mystery,451183665,1968,1,416,NULL
"Fischer, Louis",The Life of Lenin,Harper & Row,Fair,Fair,Hard Cover,Historical,NULL,1968,NULL,703,NULL
"Galbraith, John Kenneth",The New Industrial State,Signet,Fair,No Jacket,Soft Cover,Paperback,NULL,1968,NULL,430,NULL
"Gardner, Earl Stanley",The Case of the Worried Waitress,"Walter J. Black, Inc.",Very Good,Fair,Hard Cover,Mystery,NULL,1968,NULL,140,NULL
"Hailey, Arthur",Airport,Readers Digest,As New,Fine,Hard Cover,Ficton,NULL,1968,NULL,NULL,NULL
"Horney, M.D., Karen",Self-Analysis,W.W. Norton & Co.,Very Good,No Jacket,Soft Cover,Self Help,393001342,1968,NULL,280,NULL
"Lee, Harper",To Kill a Mockingbird,Readers Digest,As New,Poor,Hard Cover,Advanced Reading Copy (ARC),NULL,1968,NULL,NULL,NULL
"Levi, Herbert W. & Lorna R. Levi",Spiders and Their Kin,Golden Press,Good,No Jacket,Soft Cover,Education,0307240215,1968,NULL,160,NULL
"Maslow, Abraham H.",Toward a Psychology of Being: 2nd Edition,D. Van Nostrand Company,Very Good,No Jacket,Soft Cover,Education,442038054,1968,NULL,240,NULL
"Montgomery, Ruth",Here and Hereafter,Fawcett Crest,As New,No Jacket,Soft Cover,Education,449208303,1968,NULL,175,NULL
"Petras, James & Zeitlin, Maurice","Latin America, Reform or Revolution",Fawcett Crest,Fair,No Jacket,Soft Cover,Political,NULL,1968,NULL,500,NULL
"Sanders, Lawrence",Tales of The Wolf,Avon Books,As New,No Jacket,Soft Cover,Mystery,380751453,1968,NULL,234,NULL
"Urdang, Laurence",The Random House Dictionary of the English Language,Random House,Poor,No Jacket,Hard Cover,Education,NULL,1968,NULL,1568,NULL
"Wright, Richard",Native Son,Harper & Brothers,Good,Good,Hard Cover,Novel,NULL,1968,1,359,NULL
"Chew, Ruth",The Wednesday Witch,Scholastic,Good,No Jacket,Soft Cover,Paperback,059042761,1969,NULL,128,NULL
"Crichton, Michael",The Andromeda Strain,Ballantine Books,Fair,No Jacket,Soft Cover,Novel,345378482,1969,NULL,269,NULL
"Gardner, Earl Stanley",The Case of the Haunted Husband,Pocket Books,Fair,No Jacket,Soft Cover,Mystery,NULL,1969,NULL,218,NULL
"Graves, Ralph, Managing Editor",Life - To the Moon and Back-Special Edition,"Life, 1969",Good,No Jacket,Soft Cover,Historic,NULL,1969,NULL,NULL,This special edition was skillfully done by the magazine personnel and was a real treat for anyone watching this historic event.
"Graves, Ralph, Managing Editor",Life: Apollo 12 on the Moon,"1959 Time, Inc.",Fair,No Jacket,Soft Cover,Magazine,NULL,1969,NULL,96,NULL
"Kubler-Ross, Elisabetj",Pm Deatj Amd Dying,Macmillan,Fair,No Jacket,Soft Cover,Education,NULL,1969,NULL,289,NULL
"Lewi, Grant",Heaven Knows What,Llewellyn Publications,As New,Fine,Hard Cover,Astrology,NULL,1969,NULL,214,NULL
"Lial, Margaret L. & Miller, Charles D.",Beginning Algebra,"Scott, Foresman and Company",Good,No Jacket,Hard Cover,Education,NULL,1969,NULL,300,NULL
Lovecraft and Others,Tales of the Cthulhu Mythos,Beagle Books,Poor,No Jacket,Soft Cover,Novel,NULL,1969,NULL,277,NULL
"Mercer, Charles",The Minister,Readers Digest,Very Good,Good,Hard Cover,Ficton,NULL,1969,NULL,NULL,NULL
"Michaels, Mike",Whats the Matter with That Dog?,Troll Associates,Very Good,No Jacket,Soft Cover,Childs Book,NULL,1969,NULL,60,NULL
"Miles, Miska",Apricot ABC,"Little, Brown & Co.",Good,No Jacket,Hard Cover,Childs Book,NULL,1969,NULL,NULL,NULL
"Myracle, Lauren",Ttyl,Amulet Books,Very Good,No Jacket,Soft Cover,Childs Book,97812,1969,NULL,229,NULL
"Oddo, Nick and Peter M. Topaz",We Came in Peace,Classic Press Inc.,Fair,No Jacket,Hard Cover,Historical,NULL,1969,1,77,NULL
"Rogers, Will",Wise and Witty Sayings,Hallmark Editions,Poor,Fair,Hard Cover,Humor,NULL,1969,NULL,62,NULL
"Rollin, A. Roblert, Smith, Jerome, & Wilson, William A. Jr.",Workbook and Laboratory Manual,Alfred A. Knoff,NULL,No Jacket,Soft Cover,Education,NULL,1969,NULL,306,NULL
"Von Daniken, Erich",Chariots of the Gods?,Michael Heron & Souvenir Press,Poor,No Jacket,Soft Cover,Novel,NULL,1969,NULL,163,NULL
"Whitney, Phyllis A.",The Red Carnelian,Paperback Library,Poor,No Jacket,Soft Cover,Novel,NULL,1969,NULL,176,NULL
"Zelazny, Roger",Damnation Alley,Berkely Books,Very Good,No Jacket,Soft Cover,Fiction,425036413,1969,NULL,193,NULL
"Bellairs, John",THE FACE IN THE FROST,Macmillan Publishers,Fair,Good,Hard Cover,Fantasy,NULL,1969,NULL,174,NULL
"Ambrose, Stephen E.","Lewis & Clark, Voyage of Discovery",National Geographic,Very Good,Good,Hard Cover,Collector,0792270843,1970,NULL,253,NULL
"Babbitt, Natalie",Knee-Knock Rise,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,590425390,1970,NULL,118,NULL
"Bach, George",The Intimae Enemy,Avon Books,Good,No Jacket,Soft Cover,Self Help,380003929,1970,NULL,384,NULL
"Bolless, Richard Nelson",What Color is Your Parachute,Ten Speed Press,Good,No Jacket,Soft Cover,Job-Hunters Manual,14014,1970,NULL,361,NULL
Bureau of Business Practice,The Secretarys Guide to Handling People,Bureau of Business Practices,Good,No Jacket,Soft Cover,Education,NULL,1970,NULL,36,NULL
"Caldwell, Taylor",Great Lion of God,A Fawcett Crest,Good,No Jacket,Soft Cover,Novel,NULL,1970,NULL,700,NULL
"Chapman, Donald, Campbell, Randolph & Calvert, Robert",The Dallas Cowboys and the NFL,Unviversity of Oklahoma Press,Very Good,Good,Hard Cover,Historical,0806109203,1970,NULL,252,NULL
"Dubin, Reese P.",Telecult Power: The AMazing New Way to Psychic and Occult Wonders,Parker Publishing,Very Good,Poor,Hard Cover,Advanced Reading Copy (ARC),NULL,1970,NULL,NULL,NULL
"Forsdyke, A.G.",Knowledge Through Color Weather and Weather Forecasting,Bantam Books,Fair,No Jacket,Soft Cover,Education,NULL,1970,NULL,159,NULL
"Frey, Richard L.",According to Hoyle,Fawcett Books,Fair,No Jacket,Soft Cover,Games,NULL,1970,NULL,272,NULL
"Gilman, Dorothy",The Unexpected Mrs. Pollifax,Fawcett Crest,Fair,No Jacket,Soft Cover,Mystery,449208281,1970,NULL,204,NULL
"Hale, Ludretia P.",Stories from The Peterkin Papers,Scholastic,Good,No Jacket,Soft Cover,Young Adult,NULL,1970,NULL,NULL,NULL
"Hemingway, Ernest",Islands in The Stream,Charles Scribner & Son,Poor,No Jacket,Soft Cover,Collector,0684146428,1970,NULL,466,NULL
"Higgins, Jack",Night Judgement at Sinos,Berklely Books,Good,No Jacket,Soft Cover,Novel,0425161994,1970,NULL,289,NULL
"Hodge, Merle",Crick Crack Monkey,Heinemann,Fair,No Jacket,Soft Cover,Education,435984012,1970,NULL,111,NULL
"Iacopi, Robert",Redwood Country,Lane Books,Very Good,No Jacket,Soft Cover,Travel,NULL,1970,NULL,96,NULL
"Iocopi, Robert",Redwood Country,Lane Books,Good,No Jacket,Soft Cover,Historical,NULL,1970,NULL,96,NULL
"Keillor, Garrison",Happy to be Here,Penguin Books,Good,No Jacket,Soft Cover,Humor,140064826,1970,NULL,276,NULL
"Lindsey, Hal with Carlson, C.C.",The Late Great Planet Earth,Bantam Books,Fair,No Jacket,Soft Cover,Novel,553225022,1970,NULL,180,NULL
"Marquez, Gabriel Garcia",One Hunded Years of Solitude,Aven Books,As New,No Jacket,Soft Cover,Novel,038001503,1970,NULL,383,NULL
"Picken, Mary Brooks & Doris White",Needlepoint for Everyone,Harper and Rowe,Fair,No Jacket,Hard Cover,Education,NULL,1970,NULL,216,NULL
"Piper, Watty",All About Story Book,Platt & Munk,As New,No Jacket,Hard Cover,Childs Book,NULL,1970,NULL,64,NULL
"Rice, Helen Steiner",What is Love?,Gibson Greeting Cards,As New,No Jacket,Soft Cover,Collector,NULL,1970,1,NULL,NULL
"Sample, Johnny",Confessions of a Dirty Ballplayer,The Dial Press,As New,Very Good,Hard Cover,Historical,NULL,1970,NULL,343,NULL
"Santesson, Hanse Stefan",Understanding MU,Paperback Library,Good,Good,Soft Cover,Education,NULL,1970,NULL,187,NULL
"Sears, Roebuck and Co.",Consumers Guide,DBI Books,Fair,No Jacket,Soft Cover,Reference,0695802046,1970,NULL,1120,NULL
"Seton, Ernest Thompson",King of the Grizzlies,"Scholastic, Inc.",Fair,No Jacket,Soft Cover,Childs Book,NULL,1970,NULL,94,NULL
"Sewell, Anna",Black Beauty,Classic Publishing Corp.,Very Good,No Jacket,Hard Cover,Childs Book,NULL,1970,NULL,223,NULL
"Stewart, Mary",THe Crystal Cave,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,NULL,1970,NULL,375,NULL
"Unger, Lisa",Fragile,Vintage Books,Very Good,No Jacket,Soft Cover,Mystery,97812,1970,NULL,470,NULL
"Wilson, Dorothy Clarke",Lone Woman,Readers Digest,Very Good,Good,Hard Cover,Advanced Reading Copy (ARC),NULL,1970,NULL,NULL,NULL
