AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,NULL,1991,NULL,180,NULL
"Himsel, Carol A.",Rats: A Complete Pet Owners Manuel,"Barrons Educational Series, Inc.",Very Good,No Jacket,Soft Cover,Education,812045351,1991,NULL,72,NULL
"Horan, Anne",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,NULL,1991,NULL,176,NULL
"Jance, J. A.",Hour of The Hunter,Avon Books,As New,No Jacket,Soft Cover,Mystery,0380711079,1991,NULL,510,NULL
"Jance, J. A.",Payment in Kind,Avon Books,As New,No Jacket,Soft Cover,Mystery,14014,1991,NULL,330,NULL
"Jance, J. A.",Payment in Kind,Aven Books,Poor,No Jacket,Soft Cover,Mystery,0380738369,1991,NULL,376,NULL
"Jekel, Pamela",Bayou,Zebra Books,Good,No Jacket,Soft Cover,Novel,821737406,1991,NULL,697,NULL
"Johansen, Iris",Storm Winds,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553290320,1991,NULL,538,NULL
"Johnston, Terry C.",Devils Backbone,St. Martins Paperbacks,As New,No Jacket,Soft Cover,Novel,312925743,1991,1,426,NULL
"Johnston, Terry C.",Shadow Riders,St. Martins Paperbacks,As New,No Jacket,Soft Cover,Novel,312925972,1991,1,374,NULL
"Judd, Polly and Pam",Compo Dolls 1928 to 1955,Holly House Press,As New,Good,Hard Cover,Collector,0875883893,1991,NULL,209,NULL
"Kellerman, Faye",Day of Atonement,Harper Torch,As New,No Jacket,Soft Cover,Mystery,60554894,1991,NULL,388,NULL
"King, Stephen","The Waste Lands, the Dark Tower, III",A Signet Book,Good,No Jacket,Soft Cover,Mystery,451173317,1991,NULL,588,NULL
"Kirk, Mary",Embers,Silhouette Books,As New,NULL,Soft Cover,Romance,037309714,1991,NULL,253,NULL
"Marshall, Bevlyn",Above the Clouds,Silhouette Books,As New,No Jacket,Soft Cover,Romance,373097042,1991,1,252,NULL
"Matteson, Setfanie",Murder at Teatime,Diamond Books,Fair,No Jacket,Soft Cover,Mystery,1557734771,1991,NULL,218,NULL
"McNaught, Judith",Paradise,Pocket Books,Good,Fair,Hard Cover,Romance,671601296,1991,NULL,489,NULL
"Morrell, David",The Covenant of the Flame,Warner Books,Good,No Jacket,Soft Cover,Mystery,446362921,1991,NULL,467,NULL
"Nance, John J.",Final Approach,Readers Digest,Very Good,Poor,Hard Cover,Fiction,NULL,1991,1,NULL,NULL
"Pirsig, Robert M.","Lila, An Inquiry Into Morals",Bantam Books,Good,No Jacket,Soft Cover,Novel,553299611,1991,NULL,468,NULL
"Ripley, Alexandra",Scarlett,Warner Books,As New,Very Good,Hard Cover,Novel,0446515078,1991,NULL,823,NULL
"Robinson, Kathy",Children of Silence,A Signet Book,Very Good,No Jacket,Soft Cover,Education,451169190,1991,NULL,251,NULL
"Sanders, Lawrence",The Seventh Commandment,Berklely Books,As New,No Jacket,Soft Cover,Mystery,042513329,1991,NULL,357,NULL
"Sandford, John",Eiyes of Prey,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0425132048,1991,NULL,358,NULL
"Sandford, John",Eyes of Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425132048,1991,NULL,358,NULL
"Sandford, John",Eyes of Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425132048,1991,NULL,358,NULL
"Sandford, John",The Empress File,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425135020,1991,NULL,356,NULL
"Sheldon, Sidney",The Doomsday Conspiracy,William Morrow,As New,Very Good,Hard Cover,Mystery,688084893,1991,NULL,412,NULL
"Siebert, Diane",Sierra,Harper Collins,As New,As New,Hard Cover,Art,60216409,1991,NULL,NULL,NULL
"Stanley, Charles",The Gift of Forgiveness,Thomas Nelson,As New,As New,Hard Cover,Self Help,840790724,1991,NULL,NULL,NULL
"Steel, Danielle",Heartbeat,A Del Book,Good,No Jacket,Soft Cover,Novel,440211891,1991,NULL,404,NULL
"Stowe, Harriet Beecher",Uncle Toms Cabin,Readers Digest,Very Good,No Jacket,Hard Cover,Novel,895773678,1991,NULL,411,NULL
Sunset Magazine,Ideas for Great Kitchens,Sunset Publishing Corporation,Fair,NULL,Soft Cover,Organizing & Design,376012366,1991,NULL,96,NULL
"Tan, Amy",The Kitchen Gods Wife,Ivy Books,Fair,No Jacket,Soft Cover,Novel,080410753,1991,NULL,532,NULL
"Teitelbaum, Michael",Beauty and the Beast,Western Publishing,Good,No Jacket,Soft Cover,Childs Book,307626458,1991,NULL,NULL,NULL
"Walker , Steven L.","Arizona, the Grand Canyon State",Canyon Lands,Fair,No Jacket,Soft Cover,Travel,NULL,1991,NULL,80,NULL
"Walker, Cynthia, Whitesides, Elvin, Morria, Rob",Hard Choices: No. 7,The Humorous Corp.,Very Good,No Jacket,Soft Cover,Education,NULL,1991,NULL,158,NULL
"Walter, Steven",Arizona Magazine,"Camelback Design Group, In.c",Good,No Jacket,Soft Cover,Magazine,NULL,1991,NULL,81,NULL
"Weiss, Donald H.","Fair, Square and Legal",Amacom,Good,No Jacket,Hard Cover,Novel,0814459765,1991,NULL,316,NULL
"Weyn, Susan",Sitting Pretty Checking In,Troll,Fair,No Jacket,Soft Cover,Young Adult,816720045,1991,NULL,122,NULL
"Whitney, Diana",Child of the Storm,Silhouette Books,Fair,No Jacket,Soft Cover,Novel,373097026,1991,1,251,NULL
"Wilcox, Collin",Hire a Hangman,Detective Book Club,Good,No Jacket,Hard Cover,Mystery,NULL,1991,NULL,NULL,NULL
"Wolzien, Valerie",We Wish You a Merry Murder,Fawcett Gold Medal,Very Good,No Jacket,Soft Cover,Mystery,449147231,1991,NULL,283,NULL
"Yeoman, R.S.",A Guide Book of United States Coins,Wesern Publishing,As New,No Jacket,Hard Cover,Collector,307198928,1991,44,NULL,NULL
Albert. Susan Wittig,Thyme of Death,Berkley Prime Crime,As New,No Jacket,Soft Cover,Mystery,4251409899,1992,NULL,NULL,NULL
"Allen, James",As a Man Thinketh,Barnes & Noble,As New,No Jacket,Hard Cover,Self Help,880297859,1992,NULL,52,NULL
American College of Sports Medicine,ACSM Fitness Book,Leisure Books,As New,No Jacket,Soft Cover,Health,880114606,1992,NULL,NULL,NULL
"Atkins, Rober C.",Dr. Atkins New Diet Revolution,"M. Evans & Company, Inc.",NULL,NULL,Hard Cover,Education,087131794,1992,NULL,320,NULL
"Benton, D.A.",Lions Dont Need to Roar,Warner Books,As New,As New,Hard Cover,Self Help,44516678,1992,NULL,257,NULL
"Bernhardt, William",Blind Justice,Ballantine Books,Good,No Jacket,Soft Cover,Mystery,245374835,1992,NULL,508,NULL
"Bohn, Chris & Meyers, Susan",The Print Shop Deluxe,Broderbund,Good,No Jacket,Soft Cover,Reference,NULL,1992,NULL,NULL,NULL
"Braun, Lillian Jackson",The Cat Who Moved a Mountain,Jove Books,Good,No Jacket,Soft Cover,Mystery,515109509,1992,NULL,261,NULL
"Braun, Lillian Jackson",The Cat Who Moved a Mountain,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515109509,1992,NULL,261,NULL
Broderbund,The Print Shop Deluxe,Version is for Windows,Good,No Jacket,Hard Cover,Education,NULL,1992,NULL,96,NULL
"Burke, Richard E.",The Senator,St. Masrtins Press,Very Good,Good,Hard Cover,Political,0312091346,1992,1,328,NULL
"Clark, Carol Higgins",Decked,Warner Books,Fine,Very Good,Hard Cover,Mystery,446515493,1992,NULL,230,NULL
"Clark, Mary Higgins",All Around the Town,Pocket Books,As New,No Jacket,Soft Cover,Mystery,0671763489,1992,NULL,341,NULL
"Clark, Mary Higgins","Loves Music, Loves to Dance",Pocket Books,Good,No Jacket,Soft Cover,Mystery,0671758896,1992,NULL,NULL,NULL
"Connelly, Michael",Black Echo,Warner Books,As New,No Jacket,Soft Cover,Mystery,446612731,1992,NULL,482,NULL
"Conti, Peter","Honda Civic Repair Manual, 1984-1991","Freeman, Kerry A.",Good,No Jacket,Soft Cover,Education,0801982561,1992,NULL,NULL,NULL
"Cornwell, Art",Freeing the Corporate Mind: How to Spur Innovation in Business,Execu-Press,As New,No Jacket,Hard Cover,Education,963080709,1992,1,178,Signed by Author
"Cornwell, Patricia",All That Remains,Avon Books,As New,No Jacket,Soft Cover,Mystery,380718332,1992,NULL,406,NULL
"Cornwell, Patricia",All That Remains,Avon Books,As New,No Jacket,Soft Cover,Mystery,0380718322,1992,NULL,406,NULL
"Cornwell, Patricia",All That Remains,Pocket Books,Good,No Jacket,Soft Cover,Mystery,074349153,1992,NULL,404,NULL
"Cornwell, Patricia",All That Rremains,Charles Scribner & Son,As New,Fair,Hard Cover,Mystery,684193957,1992,NULL,373,NULL
"Coulter, Catherine",The Hellion Bride,Jove Books,Fair,No Jacket,Soft Cover,Romance,515109746,1992,NULL,378,NULL
"Cussler, Clive",Sahara,Pocket Star,Fine,No Jacket,Soft Cover,Adventure,97812,1992,NULL,693,NULL
"Daheim, Mary","Murder, My Suite",Avon Books,As New,No Jacket,Soft Cover,Mystery,380778777,1992,NULL,NULL,NULL
"Daheim, Mary",The Alpine Advocate,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345376722,1992,NULL,233,NULL
"Daheim, Mary",The Alpine Mysteries Omnibus,Wings Book,Very Good,Good,Hard Cover,Mystery,14014,1992,NULL,738,NULL
Davidson Diane Mott,Dying for Chocolate,Bantam Book,As New,Good,Hard Cover,Mystery,055308576,1992,NULL,287,NULL
"Disney, Walt",Pinocchio,A Golden Book,Very Good,No Jacket,Hard Cover,Childs Book,NULL,1992,NULL,NULL,NULL
"Donaldson, Stephen",A Dark and Hungry God Arises,Bantam Books,Very Good,No Jacket,Soft Cover,Science Fiction,553562606,1992,NULL,518,NULL
"Donaldson, Stephen R.",A Dark and Hungry God Arises,Bantam Books,Very Good,No Jacket,Soft Cover,Fantasy,553562606,1992,NULL,NULL,NULL
"Drews, Christine M.",Guidelines for Employee Health Promotion Programs,Human Kinetics Books,As New,No Jacket,Mass Market Paperback,Education,873223519,1992,NULL,139,NULL
"Engelbreit, Mary",A Good Marriage,Andrews and McMeel,Very Good,As New,Hard Cover,Art,836246012,1992,NULL,NULL,NULL
"Engelbreit, Mary",Life is Just a Chair of Bowlies,Andrews and McMeel,As New,No Jacket,Hard Cover,Childs Book,0836246047,1992,NULL,NULL,NULL
"Garwood, Julie",The Secret,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,671744216,1992,NULL,379,NULL
"Garwood, Julie",The Secret,Pocket Books,Good,No Jacket,Soft Cover,Romance,671744216,1992,NULL,379,NULL
"Garwood, Julie",The Secret,Pocket Books,Very Good,No Jacket,Soft Cover,Romance,674744216,1992,NULL,379,NULL
"Gilman, Dorothy",Caravan,Doubledaiy & Co.,As New,Very Good,Hard Cover,Mystery,385423616,1992,NULL,263,NULL
"Grafton, Sue",I is for Innocent,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449221512,1992,NULL,343,NULL
"Grafton, Sue",I is for Innocent,Faucett Crest,Very Good,No Jacket,Soft Cover,Mystery,0449221512,1992,NULL,329,NULL
"Greenleaf, Stephen",States Evidence,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,553293494,1992,NULL,308,NULL
"Grimee, Nikkt",Pinocchio,Western Publishing,Fine,No Jacket,Soft Cover,Childs Book,307101894,1992,NULL,NULL,NULL
"Grisham, John",The Pelican Brief,Island Books,Good,No Jacket,Soft Cover,Mystery,440214041,1992,NULL,436,NULL
"Haskins, Jim",Colin Powell,Scholastic,As New,No Jacket,Soft Cover,Biography,590898159,1992,NULL,101,NULL
Heloise,Heloise from A to Z,A Perigee Book,Very Good,No Jacket,Soft Cover,Education,399517502,1992,NULL,430,NULL
"Hoag, Tami",Luckys Lady,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553587188,1992,NULL,368,NULL
"Hoag, Tami",Luckys Lady,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,0553587188,1992,NULL,368,NULL
"Hoag, Tami",Magic,Bantam Books,Fair,No Jacket,Soft Cover,Mystery,553290533,1992,NULL,322,NULL
"Hoag, Tami",Still Waters,Bantam Books,Good,Good,Hard Cover,Mystery,739403826,1992,NULL,446,NULL
"Hoag, Tami",Still Waters,Bantam Books,As New,No Jacket,Soft Cover,Mystery,0553292722,1992,NULL,430,NULL
Jackson Lisa,Abandoned,Harlequin Books,As New,No Jacket,Soft Cover,Romance,14014,1992,NULL,506,NULL
"Jance, J. A.",Without Due Process,Avon Books,As New,No Jacket,Soft Cover,Mystery,380758377,1992,NULL,359,NULL
"Keating, H. R. F.",Cheating Death,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1992,NULL,NULL,NULL
"Kellerman, Jonathan",Private Eyes,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553299506,1992,NULL,523,NULL
"Kellerman, Jonathan",Private Eyes,A Bantam Book,Very Good,No Jacket,Soft Cover,Mystery,553299506,1992,NULL,525,NULL
"Kelton, Elmer",Slaughter,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553565478,1992,NULL,438,NULL
"Kingsley, Amanda",Hellcat,Leisure Books,Very Good,No Jacket,Soft Cover,Mystery,0843933062,1992,NULL,395,NULL
"Krantz, Judith",Scruples Two,"Crown Publishers, Inc.",As New,Fine,Hard Cover,Novel,517582287,1992,1,517,NULL
"Lamb, Wally",Shes Come Undone,Pocket Books,Good,No Jacket,Soft Cover,Humor,0671021001,1992,NULL,NULL,NULL
"Limbaugh, Rush H. III",The Way Things Ought to be,Pocket Star Book,Good,No Jacket,Soft Cover,Humor,671751506,1992,NULL,315,NULL
"Limbaugh, Rush H., III",The Way Things Ought to be,Pocket Books,As New,Very Good,Hard Cover,Historical,0671075145,1992,1,304,NULL
"London, Jonathan",The Owl Who Became the Moon,Dutton,Very Good,No Jacket,Hard Cover,Childs Book,525450548,1992,NULL,NULL,NULL
"Marcinko, Richard w/ John Weisman",Rogue Warrior,Pocket Books,Very Good,No Jacket,Soft Cover,Autobiography,671795937,1992,NULL,397,NULL
"Martin, Albro",Railroads Triumphant,Oxford University Press,As New,Very Good,Hard Cover,Historical,0195038533,1992,NULL,428,NULL
"Montgomery, L. M.",Anne of Green Gables,Readers Digest,As New,No Jacket,Hard Cover,Novel,895774348,1992,NULL,262,NULL
"Mosley, Walter",A Red Death,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,671749897,1992,NULL,245,NULL
"Patterson, James",Along Came a Spider,Warner Books,Fair,No Jacket,Soft Cover,Mystery,446364193,1992,NULL,502,NULL
"Patterson, Richard North",Degree of Guilt,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,034538184,1992,NULL,534,NULL
"Powell, Colin",A Biography of Jim Haskins,Scholastic,Very Good,No Jacket,Soft Cover,Biography,0590898159,1992,NULL,101,NULL
"Prelutsky, Jack",Something Big Has Been Here,Scholastic,Fair,No Jacket,Soft Cover,Childs Book,590455095,1992,NULL,NULL,NULL
"Preston, Douglas & Child, Lincoln",Brimstone,Warner Vision Books,Very Good,No Jacket,Soft Cover,Thriller,446612758,1992,NULL,NULL,NULL
"Rice, Anne",The Tale of the Body Thief,Alfred A. Knoff,Very Good,Very Good,Hard Cover,Novel,679405283,1992,NULL,430,NULL
"Roberts, Nora",Divine Evil,Bantam Books,Very Good,No Jacket,Soft Cover,Romance,553294903,1992,NULL,568,NULL
"Roberts, Nora",Entranced,Silhouette Books,Good,No Jacket,Soft Cover,Romance,373285019,1992,NULL,297,NULL
"Sanders, Lawrence",McNallys Luck,G. P. Putnams Sons,As New,As New,Hard Cover,Mystery,399137629,1992,NULL,319,NULL
"Sanders, Lawrence",McNallys Luck,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425137457,1992,NULL,324,NULL
"Sanders, Lawrence",McNallys Secret,G. P. Putnams Sons,As New,Good,Hard Cover,Mystery,399136754,1992,NULL,317,NULL
"Sanders, Lawrence",McNallys Secret,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425135721,1992,NULL,341,NULL
"Sandfford, John",Silent Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425137562,1992,NULL,374,NULL
"Sandford, John",Silent Prey,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,425167562,1992,NULL,358,NULL
Sandra Brown,The Silken Web,Warner Books,Fair,No Jacket,Soft Cover,Mystery,446364797,1992,NULL,325,NULL
"Sarabande, William",Thunder in the Sky,Bantam Book,Poor,No Jacket,Soft Cover,Ficton,553291068,1992,NULL,452,NULL
"Saul, John",Darkness,Bantam Book,Good,No Jacket,Soft Cover,Mystery,553297260,1992,NULL,373,NULL
"Schwarzkopf, General H. Norman",It Doesnt Take a Hero,Bantam Books,Fair,Good,Hard Cover,Autobiography,553089447,1992,NULL,NULL,NULL
"Sheldon, Sidney",The Stars Shine Down,William Morrow,As New,Very Good,Hard Cover,Mystery,688121004,1992,NULL,558,NULL
"Sheldon, Sidney",The Stars Shine Down,William Morrow,As New,Fair,Hard Cover,Novel,688084907,1992,NULL,399,NULL
"Shields, Mary",Loving a Happy Dog,Pyrola Publishing,Very Good,No Jacket,Hard Cover,Childs Book,961834838,1992,1,NULL,NULL
"Taylor, Barbara",Focus on Light,Shooting Star Press,Poor,No Jacket,Hard Cover,Education,053117381,1992,NULL,32,NULL
"Taylor, William",Knitwits,Scholastic,Good,No Jacket,Soft Cover,Young Adult,590457799,1992,NULL,101,NULL
"Waller, Robert James",The Bridges of Madison County,Warner Books,As New,Fair,Hard Cover,Travel,044651652,1992,1,171,NULL
"Weiner, Eric",Clue: The Case of the Invisible Cat,"Scholastic, Inc.",NULL,No Jacket,Soft Cover,Chap Book,0590456326,1992,NULL,104,NULL
"Weiner, Eric",Clue: The Secret Secret Passage,"Scholastic, Inc.",NULL,No Jacket,Soft Cover,Chap Book,0590456318,1992,NULL,97,NULL
"Weiner, Eric",Clue: Who Killed Mr. Boddy,"Scholastic, Inc.",NULL,No Jacket,Soft Cover,Chap Book,0590461109,1992,NULL,102,NULL
"Westlake, Donald",Humans,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,NULL,1992,NULL,355,NULL
"Williams, Chuck",Pasta,Time Life,As New,As New,Hard Cover,Cook Book,783502123,1992,NULL,108,NULL
"Wolzien, Valerie",All Hallows Eve,Fawcett Gold Medal,Very Good,No Jacket,Soft Cover,Mystery,449147452,1992,NULL,247,NULL
Wordperfect,Wordpefect Version 6.0,Windows,Good,No Jacket,Soft Cover,Education,NULL,1992,NULL,968,NULL
"Yalom,. Irvin D.",When Nietsche Wept,HarperPerennial,Good,No Jacket,Soft Cover,Novel,60975504,1992,NULL,312,NULL
" Ferrars, E. X.",Thy Brother Death,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,192,NULL
" Peters, Ellis",Fallen Into the Pit,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,NULL,NULL
Albert. Susan Wittig,Witches Bane,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425144062,1993,NULL,255,NULL
"Allan, Margaret",The Mammoth Stone,A Signet Book,Very Good,No Jacket,Soft Cover,Western,451174976,1993,NULL,391,NULL
"Archer, Jeffrey",The Prodigal Daughter,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61007145,1993,NULL,485,NULL
"Barton, Frederick",With Extreme Prejudice,Villard Books,As New,Very Good,Hard Cover,Mystery,679408134,1993,NULL,368,NULL
"Blanchard, Ken & Bowles, Sheldon",Raving Fans,William Morrow,As New,As New,Hard Cover,Education,688123163,1993,NULL,135,NULL
"Block, Lawrence",The Burglar Who Painted Like Mondrian,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,NULL,NULL
"Boylan, Eleanor",Pushing Murder,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,149,NULL
"Boyle, Doe",Gray Wolf Pup,Smithsonion Wild Heritage Collection,Very Good,No Jacket,Soft Cover,Childs Book,1568991363,1993,1,31,NULL
"Boyle, Gerry",Deadline,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,299,NULL
"Braun, Lillian Jackson",The Cat Who Wasnt There,Jove Books,Very Good,No Jacket,Soft Cover,Mystery,515111279,1993,NULL,279,NULL
"Brown, Sandra",Where Theres Smoke,Warner Books,As New,Fine,Hard Cover,Mystery,446516554,1993,NULL,417,NULL
"Butler, Gwendoline",A Coffin for Charley,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,NULL,NULL
Canfield & Hansen,Chicken Soup for the Soul,Health Communications,Fair,No Jacket,Soft Cover,Health,155874262,1993,NULL,308,NULL
"Clancy, Tom",Submarine,Berkely Books,Very Good,No Jacket,Soft Cover,Historical,425138739,1993,NULL,328,NULL
"Clancy, Tom",Without Remorse,G. P. Putnams Sons,As New,As New,Hard Cover,Novel,399138250,1993,NULL,639,NULL
"Clancy, Tom",Without Remorse,Berklely Books,Good,No Jacket,Soft Cover,Novel,425143325,1993,NULL,750,NULL
"Clark, Carol Higgins",Snagged,Warner Books,As New,As New,Hard Cover,Mystery,446515485,1993,NULL,201,NULL
"Clark, Mary Higgens",All Around the Town,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,7671400650,1993,NULL,341,NULL
"Clark, Mary Higgins",All Around the Town,Pocket Books,Poor,No Jacket,Soft Cover,Mystery,671793489,1993,NULL,341,Cover on book is torn
"Clark, Mary Higgins",Ill be Seeing You,Simon & Schuster,As New,As New,Hard Cover,Mystery,671673661,1993,NULL,317,Signed by Author
"Coben, Harlan",Play Dead,A Signet Book,Fair,No Jacket,Soft Cover,Fiction,97812,1993,NULL,550,NULL
"Cook, Robin",Fatal Cure,G. P. Putnams Sons,As New,As New,Hard Cover,Novel,039913879,1993,NULL,447,NULL
"Cook, Robin",Terminal,G. P. Putnams Sons,Very Good,Very Good,Hard Cover,Novel,399137718,1993,NULL,445,NULL
"Cook, Robin",Terminal,Berklely Books,Fine,No Jacket,Soft Cover,Novel,425155064,1993,NULL,370,NULL
"Cornwell, Patricia",Cruel and Unusual,Pocket Star,Good,No Jacket,Soft Cover,Mystery,97812,1993,NULL,409,NULL
"Crichton, Michael",Disclosure,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345391055,1993,NULL,497,NULL
"Crichton, Michael",Jurassic Park,Ballantine Books,Very Good,No Jacket,Soft Cover,Novel,345391055,1993,NULL,399,NULL
"Daheim, Mary",Dune to Death,Avon,As New,No Jacket,Soft Cover,Mystery,0380769336,1993,NULL,NULL,NULL
"Daheim, Mary",Dune to Death,Avon,Very Good,No Jacket,Soft Cover,Mystery,380769336,1993,NULL,232,NULL
"Daheim, Mary",The Alpine Betrayal,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,97812,1993,NULL,233,NULL
"Daheim, Mary",The Alpine Christmas,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345382706,1993,NULL,266,NULL
"Drucker, Peter F.",Managing for the Future,Truman Talley,Very Good,No Jacket,Soft Cover,Self Help,452269849,1993,NULL,370,NULL
"Felten, Eric",Ruling Class,The Heritage Fooundation,Very Good,No Jacket,Soft Cover,Historical,NULL,1993,NULL,103,NULL
"Felten, Eric",The Ruling Class Inside the Imperial Congress,Heritage Foundation,As New,No Jacket,Soft Cover,Education,NULL,1993,NULL,NULL,NULL
"Garwood, Julie",Saving Grace,Pocket Books,As New,Very Good,Hard Cover,Romance,671744224,1993,1,368,NULL
"Garwood, Julie",Saving Grace,Pocket Books,Good,No Jacket,Soft Cover,Romance,671870114,1993,NULL,407,NULL
"Gilman, Dorothy",Mrs. Pollifax and the Second Thief,Doubleday,Poor,Very Good,Hard Cover,Mystery,385471092,1993,NULL,201,"Inf. on cover upside down, however, book is in good condition and jacket is also in very good condition."
"Grafton, Sue",J is for Judgment,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449221482,1993,NULL,376,NULL
"Grafton, Sue",J is for Judgment,Fawcett Books,Fair,No Jacket,Soft Cover,Mystery,0449221482,1993,NULL,360,NULL
"Greenwood, Pamela D.",What About My Goldfish,Clarion Books,Very Good,Very Good,Hard Cover,Child;s Book,0395643376,1993,NULL,40,NULL
Heloise,Home Sweet Home,A Perigee Book,As New,No Jacket,Soft Cover,Education,0399521690,1993,NULL,NULL,NULL
Heloise,Home Sweet Home,Berklely Books,Fair,No Jacket,Soft Cover,Paperback,39952169,1993,NULL,NULL,NULL
"Hillerman, Tony",Sacred Clowns,Harper Collins,As New,Very Good,Hard Cover,Mystery,006016767,1993,NULL,227,NULL
"Hoag, Tami",Cry Wolf,Bantam Books,As New,No Jacket,Soft Cover,Mystery,055356160,1993,NULL,528,NULL
"Hurwitz, Johanna",Yellow Blue Jay,Beech Tree,Fair,No Jacket,Soft Cover,Young Adult,688122787,1993,NULL,112,NULL
"James, Bill","Roses, Roses",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1993,NULL,204,NULL
"Jance, J. A.",Failure to Appear,William Morrow,As New,Fine,Hard Cover,Mystery,068812674,1993,NULL,269,NULL
"Jerrod, Jane",Jack and the Beanstalk,Publications International Ltd,As New,No Jacket,Hard Cover,Childs Book,785300309,1993,NULL,NULL,NULL
"Johnson, Anne Akers",Cats Cradle,Klutz Press,Fair,No Jacket,Hard Cover,Childs Book,1878257536,1993,NULL,NULL,NULL
"Johnston, Terry C.",Blood Song,St. Martins Paperbacks,As New,No Jacket,Soft Cover,Novel,312929218,1993,NULL,359,NULL
"Kellerman, Faye",Grievious Sin,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449003302,1993,NULL,390,NULL
"Kellerman, Jonathan",Devils Waltz,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345460715,1993,NULL,495,NULL
"Kellerman, Jonathan",Devils Waltz,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,0345460715,1993,NULL,495,NULL
"Kellerman, Jonathan",Devils Waltz,A Bantam Book,Poor,No Jacket,Soft Cover,Mystery,553563521,1993,NULL,495,NULL
"Kirchheimer, Sid",The Doctors Book of Home Remedies,Rodale Press,As New,No Jacket,Hard Cover,Health,0875961584,1993,NULL,613,NULL
"Kirchheimer, Sid",The Doctors Book of Home Remedies,Rodale Press,As New,No Jacket,Hard Cover,Health,875961584,1993,NULL,613,NULL
"Koontz, Dean",Dragon Tears,Berklely Books,Good,No Jacket,Soft Cover,Science Fiction,425140032,1993,NULL,401,NULL
"Lamoureux, Maisie & Jane Troop & Dale Craig","Word Perfecct for Windows, Study Guide",Microsoft Corporation,Fair,No Jacket,Mass Market Paperback,Education,NULL,1993,NULL,NULL,NULL
"Lederman, Leon",The God Particle,Delta Trade Paperbacks,Good,No Jacket,Soft Cover,Humor,385312113,1993,NULL,434,NULL
"Lescroart, John",Hard Evidence,A Signet Book,Good,No Jacket,Soft Cover,Mystery,451206460,1993,NULL,516,NULL
"Limbaugh, Rush H., III","See, I Told You So",Pocket Books,As New,Fine,Hard Cover,Historical,067187120,1993,NULL,364,NULL
"Ludlum, Robert",The Road to Omaha,Bantam Book,Fair,No Jacket,Soft Cover,Mystery,553560441,1993,NULL,570,NULL
"Margulies, Teddy Slater",Snow White and the Seven Dwarfs,Western Publishing Co. Inc.,Very Good,No Jacket,Soft Cover,Childs Book,307126862,1993,NULL,NULL,NULL
Mary,Love,Devorss,Good,No Jacket,Soft Cover,Self Help,875160565,1993,NULL,NULL,NULL
"McBrier, Page","Aladdin, Dont Bug the Genie",Mega Books,Very Good,No Jacket,Hard Cover,Childs Book,1562362509,1993,NULL,60,NULL
